,0
0,"POLYGON ((-94.76563845953406 38.82470888085727, -94.75698079990019 38.82470888085727, -94.75698079990019 38.8314537835852, -94.76563845953406 38.8314537835852, -94.76563845953406 38.82470888085727))"
1,"POLYGON ((-94.76563845953406 38.8314537835852, -94.75698079990019 38.8314537835852, -94.75698079990019 38.83819868631312, -94.76563845953406 38.83819868631312, -94.76563845953406 38.8314537835852))"
2,"POLYGON ((-94.76563845953406 38.83819868631312, -94.75698079990019 38.83819868631312, -94.75698079990019 38.84494358904104, -94.76563845953406 38.84494358904104, -94.76563845953406 38.83819868631312))"
3,"POLYGON ((-94.76563845953406 38.84494358904104, -94.75698079990019 38.84494358904104, -94.75698079990019 38.85168849176897, -94.76563845953406 38.85168849176897, -94.76563845953406 38.84494358904104))"
4,"POLYGON ((-94.76563845953406 38.85168849176897, -94.75698079990019 38.85168849176897, -94.75698079990019 38.85843339449689, -94.76563845953406 38.85843339449689, -94.76563845953406 38.85168849176897))"
5,"POLYGON ((-94.76563845953406 38.85843339449689, -94.75698079990019 38.85843339449689, -94.75698079990019 38.86517829722482, -94.76563845953406 38.86517829722482, -94.76563845953406 38.85843339449689))"
6,"POLYGON ((-94.76563845953406 38.86517829722482, -94.75698079990019 38.86517829722482, -94.75698079990019 38.87192319995274, -94.76563845953406 38.87192319995274, -94.76563845953406 38.86517829722482))"
7,"POLYGON ((-94.76563845953406 38.87192319995274, -94.75698079990019 38.87192319995274, -94.75698079990019 38.87866810268066, -94.76563845953406 38.87866810268066, -94.76563845953406 38.87192319995274))"
8,"POLYGON ((-94.76563845953406 38.87866810268066, -94.75698079990019 38.87866810268066, -94.75698079990019 38.88541300540859, -94.76563845953406 38.88541300540859, -94.76563845953406 38.87866810268066))"
9,"POLYGON ((-94.76563845953406 38.88541300540859, -94.75698079990019 38.88541300540859, -94.75698079990019 38.89215790813651, -94.76563845953406 38.89215790813651, -94.76563845953406 38.88541300540859))"
10,"POLYGON ((-94.76563845953406 38.89215790813651, -94.75698079990019 38.89215790813651, -94.75698079990019 38.89890281086443, -94.76563845953406 38.89890281086443, -94.76563845953406 38.89215790813651))"
11,"POLYGON ((-94.76563845953406 38.89890281086443, -94.75698079990019 38.89890281086443, -94.75698079990019 38.90564771359236, -94.76563845953406 38.90564771359236, -94.76563845953406 38.89890281086443))"
