,0
0,"POLYGON ((-94.62711590539216 39.04054576815084, -94.61845824575829 39.04054576815084, -94.61845824575829 39.04729067087876, -94.62711590539216 39.04729067087876, -94.62711590539216 39.04054576815084))"
1,"POLYGON ((-94.62711590539216 39.04729067087876, -94.61845824575829 39.04729067087876, -94.61845824575829 39.05403557360668, -94.62711590539216 39.05403557360668, -94.62711590539216 39.04729067087876))"
2,"POLYGON ((-94.61845824575829 39.03380086542291, -94.60980058612442 39.03380086542291, -94.60980058612442 39.04054576815084, -94.61845824575829 39.04054576815084, -94.61845824575829 39.03380086542291))"
3,"POLYGON ((-94.61845824575829 39.04054576815084, -94.60980058612442 39.04054576815084, -94.60980058612442 39.04729067087876, -94.61845824575829 39.04729067087876, -94.61845824575829 39.04054576815084))"
4,"POLYGON ((-94.61845824575829 39.04729067087876, -94.60980058612442 39.04729067087876, -94.60980058612442 39.05403557360668, -94.61845824575829 39.05403557360668, -94.61845824575829 39.04729067087876))"
5,"POLYGON ((-94.61845824575829 39.05403557360668, -94.60980058612442 39.05403557360668, -94.60980058612442 39.06078047633461, -94.61845824575829 39.06078047633461, -94.61845824575829 39.05403557360668))"
6,"POLYGON ((-94.61845824575829 39.06078047633461, -94.60980058612442 39.06078047633461, -94.60980058612442 39.06752537906253, -94.61845824575829 39.06752537906253, -94.61845824575829 39.06078047633461))"
7,"POLYGON ((-94.61845824575829 39.10124989270215, -94.60980058612442 39.10124989270215, -94.60980058612442 39.10799479543007, -94.61845824575829 39.10799479543007, -94.61845824575829 39.10124989270215))"
8,"POLYGON ((-94.61845824575829 39.10799479543007, -94.60980058612442 39.10799479543007, -94.60980058612442 39.114739698158, -94.61845824575829 39.114739698158, -94.61845824575829 39.10799479543007))"
9,"POLYGON ((-94.60980058612442 39.03380086542291, -94.60114292649055 39.03380086542291, -94.60114292649055 39.04054576815084, -94.60980058612442 39.04054576815084, -94.60980058612442 39.03380086542291))"
10,"POLYGON ((-94.60980058612442 39.04054576815084, -94.60114292649055 39.04054576815084, -94.60114292649055 39.04729067087876, -94.60980058612442 39.04729067087876, -94.60980058612442 39.04054576815084))"
11,"POLYGON ((-94.60980058612442 39.04729067087876, -94.60114292649055 39.04729067087876, -94.60114292649055 39.05403557360668, -94.60980058612442 39.05403557360668, -94.60980058612442 39.04729067087876))"
12,"POLYGON ((-94.60980058612442 39.05403557360668, -94.60114292649055 39.05403557360668, -94.60114292649055 39.06078047633461, -94.60980058612442 39.06078047633461, -94.60980058612442 39.05403557360668))"
13,"POLYGON ((-94.60980058612442 39.06078047633461, -94.60114292649055 39.06078047633461, -94.60114292649055 39.06752537906253, -94.60980058612442 39.06752537906253, -94.60980058612442 39.06078047633461))"
14,"POLYGON ((-94.60980058612442 39.06752537906253, -94.60114292649055 39.06752537906253, -94.60114292649055 39.07427028179045, -94.60980058612442 39.07427028179045, -94.60980058612442 39.06752537906253))"
15,"POLYGON ((-94.60980058612442 39.07427028179045, -94.60114292649055 39.07427028179045, -94.60114292649055 39.08101518451838, -94.60980058612442 39.08101518451838, -94.60980058612442 39.07427028179045))"
16,"POLYGON ((-94.60980058612442 39.08101518451838, -94.60114292649055 39.08101518451838, -94.60114292649055 39.0877600872463, -94.60980058612442 39.0877600872463, -94.60980058612442 39.08101518451838))"
17,"POLYGON ((-94.60980058612442 39.0877600872463, -94.60114292649055 39.0877600872463, -94.60114292649055 39.09450498997423, -94.60980058612442 39.09450498997423, -94.60980058612442 39.0877600872463))"
18,"POLYGON ((-94.60980058612442 39.09450498997423, -94.60114292649055 39.09450498997423, -94.60114292649055 39.10124989270215, -94.60980058612442 39.10124989270215, -94.60980058612442 39.09450498997423))"
19,"POLYGON ((-94.60980058612442 39.10124989270215, -94.60114292649055 39.10124989270215, -94.60114292649055 39.10799479543007, -94.60980058612442 39.10799479543007, -94.60980058612442 39.10124989270215))"
20,"POLYGON ((-94.60114292649055 39.00682125451122, -94.59248526685668 39.00682125451122, -94.59248526685668 39.01356615723914, -94.60114292649055 39.01356615723914, -94.60114292649055 39.00682125451122))"
