,0
0,"POLYGON ((-94.76563845953406 38.82470888085727, -94.75986668643522 38.82470888085727, -94.75986668643522 38.82920548267589, -94.76563845953406 38.82920548267589, -94.76563845953406 38.82470888085727))"
1,"POLYGON ((-94.76563845953406 38.82920548267589, -94.75986668643522 38.82920548267589, -94.75986668643522 38.8337020844945, -94.76563845953406 38.8337020844945, -94.76563845953406 38.82920548267589))"
2,"POLYGON ((-94.76563845953406 38.8337020844945, -94.75986668643522 38.8337020844945, -94.75986668643522 38.83819868631312, -94.76563845953406 38.83819868631312, -94.76563845953406 38.8337020844945))"
3,"POLYGON ((-94.76563845953406 38.83819868631312, -94.75986668643522 38.83819868631312, -94.75986668643522 38.84269528813174, -94.76563845953406 38.84269528813174, -94.76563845953406 38.83819868631312))"
4,"POLYGON ((-94.76563845953406 38.84269528813174, -94.75986668643522 38.84269528813174, -94.75986668643522 38.84719188995035, -94.76563845953406 38.84719188995035, -94.76563845953406 38.84269528813174))"
5,"POLYGON ((-94.76563845953406 38.84719188995035, -94.75986668643522 38.84719188995035, -94.75986668643522 38.85168849176897, -94.76563845953406 38.85168849176897, -94.76563845953406 38.84719188995035))"
6,"POLYGON ((-94.76563845953406 38.85168849176897, -94.75986668643522 38.85168849176897, -94.75986668643522 38.85618509358758, -94.76563845953406 38.85618509358758, -94.76563845953406 38.85168849176897))"
7,"POLYGON ((-94.76563845953406 38.85618509358758, -94.75986668643522 38.85618509358758, -94.75986668643522 38.8606816954062, -94.76563845953406 38.8606816954062, -94.76563845953406 38.85618509358758))"
8,"POLYGON ((-94.76563845953406 38.8606816954062, -94.75986668643522 38.8606816954062, -94.75986668643522 38.86517829722482, -94.76563845953406 38.86517829722482, -94.76563845953406 38.8606816954062))"
9,"POLYGON ((-94.76563845953406 38.86517829722482, -94.75986668643522 38.86517829722482, -94.75986668643522 38.86967489904343, -94.76563845953406 38.86967489904343, -94.76563845953406 38.86517829722482))"
10,"POLYGON ((-94.76563845953406 38.86967489904343, -94.75986668643522 38.86967489904343, -94.75986668643522 38.87417150086205, -94.76563845953406 38.87417150086205, -94.76563845953406 38.86967489904343))"
11,"POLYGON ((-94.76563845953406 38.87417150086205, -94.75986668643522 38.87417150086205, -94.75986668643522 38.87866810268066, -94.76563845953406 38.87866810268066, -94.76563845953406 38.87417150086205))"
12,"POLYGON ((-94.76563845953406 38.87866810268066, -94.75986668643522 38.87866810268066, -94.75986668643522 38.88316470449928, -94.76563845953406 38.88316470449928, -94.76563845953406 38.87866810268066))"
13,"POLYGON ((-94.76563845953406 38.88316470449928, -94.75986668643522 38.88316470449928, -94.75986668643522 38.8876613063179, -94.76563845953406 38.8876613063179, -94.76563845953406 38.88316470449928))"
14,"POLYGON ((-94.76563845953406 38.8876613063179, -94.75986668643522 38.8876613063179, -94.75986668643522 38.89215790813651, -94.76563845953406 38.89215790813651, -94.76563845953406 38.8876613063179))"
15,"POLYGON ((-94.76563845953406 38.89215790813651, -94.75986668643522 38.89215790813651, -94.75986668643522 38.89665450995513, -94.76563845953406 38.89665450995513, -94.76563845953406 38.89215790813651))"
16,"POLYGON ((-94.76563845953406 38.89665450995513, -94.75986668643522 38.89665450995513, -94.75986668643522 38.90115111177374, -94.76563845953406 38.90115111177374, -94.76563845953406 38.89665450995513))"
17,"POLYGON ((-94.76563845953406 38.90115111177374, -94.75986668643522 38.90115111177374, -94.75986668643522 38.90564771359236, -94.76563845953406 38.90564771359236, -94.76563845953406 38.90115111177374))"
18,"POLYGON ((-94.76563845953406 38.90564771359236, -94.75986668643522 38.90564771359236, -94.75986668643522 38.91014431541097, -94.76563845953406 38.91014431541097, -94.76563845953406 38.90564771359236))"
19,"POLYGON ((-94.76563845953406 38.91014431541097, -94.75986668643522 38.91014431541097, -94.75986668643522 38.91464091722959, -94.76563845953406 38.91464091722959, -94.76563845953406 38.91014431541097))"
20,"POLYGON ((-94.76563845953406 38.91464091722959, -94.75986668643522 38.91464091722959, -94.75986668643522 38.91913751904821, -94.76563845953406 38.91913751904821, -94.76563845953406 38.91464091722959))"
21,"POLYGON ((-94.76563845953406 38.91913751904821, -94.75986668643522 38.91913751904821, -94.75986668643522 38.92363412086682, -94.76563845953406 38.92363412086682, -94.76563845953406 38.91913751904821))"
22,"POLYGON ((-94.76563845953406 38.92363412086682, -94.75986668643522 38.92363412086682, -94.75986668643522 38.92813072268544, -94.76563845953406 38.92813072268544, -94.76563845953406 38.92363412086682))"
23,"POLYGON ((-94.76563845953406 38.92813072268544, -94.75986668643522 38.92813072268544, -94.75986668643522 38.93262732450405, -94.76563845953406 38.93262732450405, -94.76563845953406 38.92813072268544))"
24,"POLYGON ((-94.76563845953406 38.93262732450405, -94.75986668643522 38.93262732450405, -94.75986668643522 38.93712392632267, -94.76563845953406 38.93712392632267, -94.76563845953406 38.93262732450405))"
25,"POLYGON ((-94.76563845953406 38.93712392632267, -94.75986668643522 38.93712392632267, -94.75986668643522 38.94162052814129, -94.76563845953406 38.94162052814129, -94.76563845953406 38.93712392632267))"
