,0
0,"POLYGON ((-94.62134413206299 39.04054576815084, -94.61557235896414 39.04054576815084, -94.61557235896414 39.04504236996945, -94.62134413206299 39.04504236996945, -94.62134413206299 39.04054576815084))"
1,"POLYGON ((-94.62134413206299 39.04953897178807, -94.61557235896414 39.04953897178807, -94.61557235896414 39.05403557360668, -94.62134413206299 39.05403557360668, -94.62134413206299 39.04953897178807))"
2,"POLYGON ((-94.62134413206299 39.11249139724869, -94.61557235896414 39.11249139724869, -94.61557235896414 39.11698799906731, -94.62134413206299 39.11698799906731, -94.62134413206299 39.11249139724869))"
3,"POLYGON ((-94.61557235896414 39.03604916633222, -94.6098005858653 39.03604916633222, -94.6098005858653 39.04054576815084, -94.61557235896414 39.04054576815084, -94.61557235896414 39.03604916633222))"
4,"POLYGON ((-94.61557235896414 39.04054576815084, -94.6098005858653 39.04054576815084, -94.6098005858653 39.04504236996945, -94.61557235896414 39.04504236996945, -94.61557235896414 39.04054576815084))"
5,"POLYGON ((-94.61557235896414 39.04504236996945, -94.6098005858653 39.04504236996945, -94.6098005858653 39.04953897178807, -94.61557235896414 39.04953897178807, -94.61557235896414 39.04504236996945))"
6,"POLYGON ((-94.61557235896414 39.04953897178807, -94.6098005858653 39.04953897178807, -94.6098005858653 39.05403557360668, -94.61557235896414 39.05403557360668, -94.61557235896414 39.04953897178807))"
7,"POLYGON ((-94.61557235896414 39.05403557360668, -94.6098005858653 39.05403557360668, -94.6098005858653 39.0585321754253, -94.61557235896414 39.0585321754253, -94.61557235896414 39.05403557360668))"
8,"POLYGON ((-94.61557235896414 39.06302877724391, -94.6098005858653 39.06302877724391, -94.6098005858653 39.06752537906253, -94.61557235896414 39.06752537906253, -94.61557235896414 39.06302877724391))"
9,"POLYGON ((-94.61557235896414 39.10349819361146, -94.6098005858653 39.10349819361146, -94.6098005858653 39.10799479543007, -94.61557235896414 39.10799479543007, -94.61557235896414 39.10349819361146))"
10,"POLYGON ((-94.6098005858653 39.0315525645136, -94.60402881276646 39.0315525645136, -94.60402881276646 39.03604916633222, -94.6098005858653 39.03604916633222, -94.6098005858653 39.0315525645136))"
11,"POLYGON ((-94.6098005858653 39.03604916633222, -94.60402881276646 39.03604916633222, -94.60402881276646 39.04054576815084, -94.6098005858653 39.04054576815084, -94.6098005858653 39.03604916633222))"
12,"POLYGON ((-94.6098005858653 39.04054576815084, -94.60402881276646 39.04054576815084, -94.60402881276646 39.04504236996945, -94.6098005858653 39.04504236996945, -94.6098005858653 39.04054576815084))"
13,"POLYGON ((-94.6098005858653 39.04504236996945, -94.60402881276646 39.04504236996945, -94.60402881276646 39.04953897178807, -94.6098005858653 39.04953897178807, -94.6098005858653 39.04504236996945))"
14,"POLYGON ((-94.6098005858653 39.04953897178807, -94.60402881276646 39.04953897178807, -94.60402881276646 39.05403557360668, -94.6098005858653 39.05403557360668, -94.6098005858653 39.04953897178807))"
15,"POLYGON ((-94.6098005858653 39.05403557360668, -94.60402881276646 39.05403557360668, -94.60402881276646 39.0585321754253, -94.6098005858653 39.0585321754253, -94.6098005858653 39.05403557360668))"
16,"POLYGON ((-94.6098005858653 39.0585321754253, -94.60402881276646 39.0585321754253, -94.60402881276646 39.06302877724391, -94.6098005858653 39.06302877724391, -94.6098005858653 39.0585321754253))"
17,"POLYGON ((-94.6098005858653 39.06302877724391, -94.60402881276646 39.06302877724391, -94.60402881276646 39.06752537906253, -94.6098005858653 39.06752537906253, -94.6098005858653 39.06302877724391))"
18,"POLYGON ((-94.6098005858653 39.06752537906253, -94.60402881276646 39.06752537906253, -94.60402881276646 39.07202198088115, -94.6098005858653 39.07202198088115, -94.6098005858653 39.06752537906253))"
19,"POLYGON ((-94.6098005858653 39.07202198088115, -94.60402881276646 39.07202198088115, -94.60402881276646 39.07651858269976, -94.6098005858653 39.07651858269976, -94.6098005858653 39.07202198088115))"
20,"POLYGON ((-94.6098005858653 39.08551178633699, -94.60402881276646 39.08551178633699, -94.60402881276646 39.09000838815561, -94.6098005858653 39.09000838815561, -94.6098005858653 39.08551178633699))"
21,"POLYGON ((-94.6098005858653 39.09000838815561, -94.60402881276646 39.09000838815561, -94.60402881276646 39.09450498997423, -94.6098005858653 39.09450498997423, -94.6098005858653 39.09000838815561))"
22,"POLYGON ((-94.6098005858653 39.09450498997423, -94.60402881276646 39.09450498997423, -94.60402881276646 39.09900159179284, -94.6098005858653 39.09900159179284, -94.6098005858653 39.09450498997423))"
23,"POLYGON ((-94.6098005858653 39.09900159179284, -94.60402881276646 39.09900159179284, -94.60402881276646 39.10349819361146, -94.6098005858653 39.10349819361146, -94.6098005858653 39.09900159179284))"
24,"POLYGON ((-94.6098005858653 39.10349819361146, -94.60402881276646 39.10349819361146, -94.60402881276646 39.10799479543007, -94.6098005858653 39.10799479543007, -94.6098005858653 39.10349819361146))"
25,"POLYGON ((-94.60402881276646 39.00906955542052, -94.59825703966762 39.00906955542052, -94.59825703966762 39.01356615723914, -94.60402881276646 39.01356615723914, -94.60402881276646 39.00906955542052))"
26,"POLYGON ((-94.60402881276646 39.02255936087637, -94.59825703966762 39.02255936087637, -94.59825703966762 39.02705596269499, -94.60402881276646 39.02705596269499, -94.60402881276646 39.02255936087637))"
27,"POLYGON ((-94.60402881276646 39.0315525645136, -94.59825703966762 39.0315525645136, -94.59825703966762 39.03604916633222, -94.60402881276646 39.03604916633222, -94.60402881276646 39.0315525645136))"
28,"POLYGON ((-94.60402881276646 39.03604916633222, -94.59825703966762 39.03604916633222, -94.59825703966762 39.04054576815084, -94.60402881276646 39.04054576815084, -94.60402881276646 39.03604916633222))"
29,"POLYGON ((-94.60402881276646 39.04054576815084, -94.59825703966762 39.04054576815084, -94.59825703966762 39.04504236996945, -94.60402881276646 39.04504236996945, -94.60402881276646 39.04054576815084))"
30,"POLYGON ((-94.60402881276646 39.04504236996945, -94.59825703966762 39.04504236996945, -94.59825703966762 39.04953897178807, -94.60402881276646 39.04953897178807, -94.60402881276646 39.04504236996945))"
31,"POLYGON ((-94.60402881276646 39.04953897178807, -94.59825703966762 39.04953897178807, -94.59825703966762 39.05403557360668, -94.60402881276646 39.05403557360668, -94.60402881276646 39.04953897178807))"
32,"POLYGON ((-94.60402881276646 39.05403557360668, -94.59825703966762 39.05403557360668, -94.59825703966762 39.0585321754253, -94.60402881276646 39.0585321754253, -94.60402881276646 39.05403557360668))"
33,"POLYGON ((-94.60402881276646 39.0585321754253, -94.59825703966762 39.0585321754253, -94.59825703966762 39.06302877724391, -94.60402881276646 39.06302877724391, -94.60402881276646 39.0585321754253))"
34,"POLYGON ((-94.60402881276646 39.06302877724391, -94.59825703966762 39.06302877724391, -94.59825703966762 39.06752537906253, -94.60402881276646 39.06752537906253, -94.60402881276646 39.06302877724391))"
35,"POLYGON ((-94.60402881276646 39.06752537906253, -94.59825703966762 39.06752537906253, -94.59825703966762 39.07202198088115, -94.60402881276646 39.07202198088115, -94.60402881276646 39.06752537906253))"
36,"POLYGON ((-94.60402881276646 39.07202198088115, -94.59825703966762 39.07202198088115, -94.59825703966762 39.07651858269976, -94.60402881276646 39.07651858269976, -94.60402881276646 39.07202198088115))"
37,"POLYGON ((-94.60402881276646 39.07651858269976, -94.59825703966762 39.07651858269976, -94.59825703966762 39.08101518451838, -94.60402881276646 39.08101518451838, -94.60402881276646 39.07651858269976))"
38,"POLYGON ((-94.60402881276646 39.08551178633699, -94.59825703966762 39.08551178633699, -94.59825703966762 39.09000838815561, -94.60402881276646 39.09000838815561, -94.60402881276646 39.08551178633699))"
39,"POLYGON ((-94.60402881276646 39.09000838815561, -94.59825703966762 39.09000838815561, -94.59825703966762 39.09450498997423, -94.60402881276646 39.09450498997423, -94.60402881276646 39.09000838815561))"
40,"POLYGON ((-94.60402881276646 39.09450498997423, -94.59825703966762 39.09450498997423, -94.59825703966762 39.09900159179284, -94.60402881276646 39.09900159179284, -94.60402881276646 39.09450498997423))"
41,"POLYGON ((-94.60402881276646 39.09900159179284, -94.59825703966762 39.09900159179284, -94.59825703966762 39.10349819361146, -94.60402881276646 39.10349819361146, -94.60402881276646 39.09900159179284))"
42,"POLYGON ((-94.60402881276646 39.10349819361146, -94.59825703966762 39.10349819361146, -94.59825703966762 39.10799479543007, -94.60402881276646 39.10799479543007, -94.60402881276646 39.10349819361146))"
43,"POLYGON ((-94.59825703966762 39.00906955542052, -94.59248526656877 39.00906955542052, -94.59248526656877 39.01356615723914, -94.59825703966762 39.01356615723914, -94.59825703966762 39.00906955542052))"
44,"POLYGON ((-94.59825703966762 39.01356615723914, -94.59248526656877 39.01356615723914, -94.59248526656877 39.01806275905776, -94.59825703966762 39.01806275905776, -94.59825703966762 39.01356615723914))"
45,"POLYGON ((-94.59825703966762 39.01806275905776, -94.59248526656877 39.01806275905776, -94.59248526656877 39.02255936087637, -94.59825703966762 39.02255936087637, -94.59825703966762 39.01806275905776))"
46,"POLYGON ((-94.59825703966762 39.02255936087637, -94.59248526656877 39.02255936087637, -94.59248526656877 39.02705596269499, -94.59825703966762 39.02705596269499, -94.59825703966762 39.02255936087637))"
47,"POLYGON ((-94.59825703966762 39.02705596269499, -94.59248526656877 39.02705596269499, -94.59248526656877 39.0315525645136, -94.59825703966762 39.0315525645136, -94.59825703966762 39.02705596269499))"
48,"POLYGON ((-94.59825703966762 39.0315525645136, -94.59248526656877 39.0315525645136, -94.59248526656877 39.03604916633222, -94.59825703966762 39.03604916633222, -94.59825703966762 39.0315525645136))"
49,"POLYGON ((-94.59825703966762 39.03604916633222, -94.59248526656877 39.03604916633222, -94.59248526656877 39.04054576815084, -94.59825703966762 39.04054576815084, -94.59825703966762 39.03604916633222))"
50,"POLYGON ((-94.59825703966762 39.04054576815084, -94.59248526656877 39.04054576815084, -94.59248526656877 39.04504236996945, -94.59825703966762 39.04504236996945, -94.59825703966762 39.04054576815084))"
51,"POLYGON ((-94.59825703966762 39.04504236996945, -94.59248526656877 39.04504236996945, -94.59248526656877 39.04953897178807, -94.59825703966762 39.04953897178807, -94.59825703966762 39.04504236996945))"
52,"POLYGON ((-94.59825703966762 39.04953897178807, -94.59248526656877 39.04953897178807, -94.59248526656877 39.05403557360668, -94.59825703966762 39.05403557360668, -94.59825703966762 39.04953897178807))"
53,"POLYGON ((-94.59825703966762 39.05403557360668, -94.59248526656877 39.05403557360668, -94.59248526656877 39.0585321754253, -94.59825703966762 39.0585321754253, -94.59825703966762 39.05403557360668))"
54,"POLYGON ((-94.59825703966762 39.0585321754253, -94.59248526656877 39.0585321754253, -94.59248526656877 39.06302877724391, -94.59825703966762 39.06302877724391, -94.59825703966762 39.0585321754253))"
55,"POLYGON ((-94.59825703966762 39.06302877724391, -94.59248526656877 39.06302877724391, -94.59248526656877 39.06752537906253, -94.59825703966762 39.06752537906253, -94.59825703966762 39.06302877724391))"
56,"POLYGON ((-94.59825703966762 39.06752537906253, -94.59248526656877 39.06752537906253, -94.59248526656877 39.07202198088115, -94.59825703966762 39.07202198088115, -94.59825703966762 39.06752537906253))"
57,"POLYGON ((-94.59825703966762 39.07202198088115, -94.59248526656877 39.07202198088115, -94.59248526656877 39.07651858269976, -94.59825703966762 39.07651858269976, -94.59825703966762 39.07202198088115))"
58,"POLYGON ((-94.59825703966762 39.07651858269976, -94.59248526656877 39.07651858269976, -94.59248526656877 39.08101518451838, -94.59825703966762 39.08101518451838, -94.59825703966762 39.07651858269976))"
59,"POLYGON ((-94.59825703966762 39.08101518451838, -94.59248526656877 39.08101518451838, -94.59248526656877 39.08551178633699, -94.59825703966762 39.08551178633699, -94.59825703966762 39.08101518451838))"
60,"POLYGON ((-94.59825703966762 39.08551178633699, -94.59248526656877 39.08551178633699, -94.59248526656877 39.09000838815561, -94.59825703966762 39.09000838815561, -94.59825703966762 39.08551178633699))"
61,"POLYGON ((-94.59825703966762 39.09000838815561, -94.59248526656877 39.09000838815561, -94.59248526656877 39.09450498997423, -94.59825703966762 39.09450498997423, -94.59825703966762 39.09000838815561))"
62,"POLYGON ((-94.59825703966762 39.09450498997423, -94.59248526656877 39.09450498997423, -94.59248526656877 39.09900159179284, -94.59825703966762 39.09900159179284, -94.59825703966762 39.09450498997423))"
63,"POLYGON ((-94.59825703966762 39.09900159179284, -94.59248526656877 39.09900159179284, -94.59248526656877 39.10349819361146, -94.59825703966762 39.10349819361146, -94.59825703966762 39.09900159179284))"
64,"POLYGON ((-94.59825703966762 39.10349819361146, -94.59248526656877 39.10349819361146, -94.59248526656877 39.10799479543007, -94.59825703966762 39.10799479543007, -94.59825703966762 39.10349819361146))"
