,0
0,"POLYGON ((-94.5968140963929 39.03604916633222, -94.59825703966762 39.03604916633222, -94.59825703966762 39.03717331678688, -94.59825703966762 39.03829746724153, -94.59969998294233 39.03829746724153, -94.60114292621704 39.03829746724153, -94.60114292621704 39.03942161769619, -94.60114292621704 39.04054576815085, -94.59969998294233 39.04054576815085, -94.59825703966762 39.04054576815085, -94.5968140963929 39.04054576815085, -94.59537115311819 39.04054576815085, -94.59537115311819 39.03942161769619, -94.59537115311819 39.03829746724153, -94.59537115311819 39.03717331678688, -94.59537115311819 39.03604916633222, -94.5968140963929 39.03604916633222))"
1,"POLYGON ((-94.5968140963929 39.04279406906015, -94.59825703966762 39.04279406906015, -94.59969998294233 39.04279406906015, -94.60114292621704 39.04279406906015, -94.60114292621704 39.04391821951481, -94.60114292621704 39.04504236996947, -94.59969998294233 39.04504236996947, -94.59825703966762 39.04504236996947, -94.59825703966762 39.04616652042411, -94.59825703966762 39.04729067087877, -94.5968140963929 39.04729067087877, -94.59537115311819 39.04729067087877, -94.59537115311819 39.04616652042411, -94.59537115311819 39.04504236996947, -94.59537115311819 39.04504236996945, -94.59537115311819 39.04391821951481, -94.59537115311819 39.04279406906015, -94.5968140963929 39.04279406906015))"
2,"POLYGON ((-94.59392820984348 39.04953897178807, -94.59537115311819 39.04953897178807, -94.59537115311819 39.05066312224272, -94.59537115311819 39.05178727269738, -94.5968140963929 39.05178727269738, -94.59825703966762 39.05178727269738, -94.59825703966762 39.05291142315204, -94.59825703966762 39.0540355736067, -94.5968140963929 39.0540355736067, -94.59537115311819 39.0540355736067, -94.59537115311819 39.05515972406134, -94.59537115311819 39.056283874516, -94.59392820984348 39.056283874516, -94.59248526656877 39.056283874516, -94.59248526656877 39.05515972406134, -94.59248526656877 39.0540355736067, -94.59248526656877 39.05403557360668, -94.59248526656877 39.05291142315204, -94.59248526656877 39.05178727269738, -94.59248526656877 39.05066312224272, -94.59248526656877 39.04953897178807, -94.59392820984348 39.04953897178807))"
3,"POLYGON ((-94.59104232329406 39.10349819361146, -94.59248526656877 39.10349819361146, -94.59392820984348 39.10349819361146, -94.59537115311819 39.10349819361146, -94.59537115311819 39.10462234406612, -94.59537115311819 39.10574649452077, -94.59392820984348 39.10574649452077, -94.59248526656877 39.10574649452077, -94.59248526656877 39.10687064497543, -94.59248526656877 39.10799479543009, -94.59104232329406 39.10799479543009, -94.58959938001935 39.10799479543009, -94.58959938001935 39.10687064497543, -94.58959938001935 39.10574649452077, -94.58959938001935 39.10462234406612, -94.58959938001935 39.10349819361146, -94.59104232329406 39.10349819361146))"
4,"POLYGON ((-94.5968140963929 39.04054576815084, -94.59825703966762 39.04054576815084, -94.59969998294233 39.04054576815084, -94.60114292621704 39.04054576815084, -94.60114292621704 39.04166991860549, -94.60114292621704 39.04279406906015, -94.59969998294233 39.04279406906015, -94.59825703966762 39.04279406906015, -94.5968140963929 39.04279406906015, -94.59537115311819 39.04279406906015, -94.59537115311819 39.04166991860549, -94.59537115311819 39.04054576815084, -94.5968140963929 39.04054576815084))"
5,"POLYGON ((-94.59392820984348 39.07876688360908, -94.59537115311819 39.07876688360908, -94.59537115311819 39.07989103406373, -94.59537115311819 39.08101518451838, -94.5968140963929 39.08101518451838, -94.59825703966762 39.08101518451838, -94.59825703966762 39.08213933497304, -94.59825703966762 39.08326348542769, -94.5968140963929 39.08326348542769, -94.59537115311819 39.08326348542769, -94.59392820984348 39.08326348542769, -94.59248526656877 39.08326348542769, -94.59104232329406 39.08326348542769, -94.58959938001935 39.08326348542769, -94.58959938001935 39.08213933497304, -94.58959938001935 39.08101518451838, -94.59104232329406 39.08101518451838, -94.59248526656877 39.08101518451838, -94.59248526656877 39.07989103406373, -94.59248526656877 39.07876688360908, -94.59392820984348 39.07876688360908))"
6,"POLYGON ((-94.59392820984348 39.08326348542769, -94.59537115311819 39.08326348542769, -94.5968140963929 39.08326348542769, -94.59825703966762 39.08326348542769, -94.59825703966762 39.08438763588235, -94.59825703966762 39.08551178633701, -94.5968140963929 39.08551178633701, -94.59537115311819 39.08551178633701, -94.59537115311819 39.08663593679165, -94.59537115311819 39.08776008724631, -94.59392820984348 39.08776008724631, -94.59248526656877 39.08776008724631, -94.59248526656877 39.08663593679165, -94.59248526656877 39.08551178633701, -94.59248526656877 39.08551178633699, -94.59248526656877 39.08438763588235, -94.59248526656877 39.08326348542769, -94.59392820984348 39.08326348542769))"
7,"POLYGON ((-94.59104232329406 39.09675329088354, -94.59248526656877 39.09675329088354, -94.59248526656877 39.0978774413382, -94.59248526656877 39.09900159179284, -94.59392820984348 39.09900159179284, -94.59537115311819 39.09900159179284, -94.59537115311819 39.1001257422475, -94.59537115311819 39.10124989270216, -94.59392820984348 39.10124989270216, -94.59248526656877 39.10124989270216, -94.59104232329406 39.10124989270216, -94.58959938001935 39.10124989270216, -94.58959938001935 39.1001257422475, -94.58959938001935 39.09900159179286, -94.58959938001935 39.09900159179284, -94.58959938001935 39.0978774413382, -94.58959938001935 39.09675329088354, -94.59104232329406 39.09675329088354))"
8,"POLYGON ((-94.59104232329406 39.10124989270216, -94.59248526656877 39.10124989270216, -94.59392820984348 39.10124989270216, -94.59537115311819 39.10124989270216, -94.59537115311819 39.10237404315681, -94.59537115311819 39.10349819361147, -94.59392820984348 39.10349819361147, -94.59248526656877 39.10349819361147, -94.59104232329406 39.10349819361147, -94.58959938001935 39.10349819361147, -94.58959938001935 39.10237404315681, -94.58959938001935 39.10124989270216, -94.59104232329406 39.10124989270216))"
9,"POLYGON ((-94.58815643674464 39.07427028179046, -94.58959938001935 39.07427028179046, -94.58959938001935 39.07539443224512, -94.58959938001935 39.07651858269976, -94.59104232329406 39.07651858269976, -94.59248526656877 39.07651858269976, -94.59248526656877 39.07764273315442, -94.59248526656877 39.07876688360908, -94.59104232329406 39.07876688360908, -94.58959938001935 39.07876688360908, -94.58815643674464 39.07876688360908, -94.58671349346993 39.07876688360908, -94.58527055019522 39.07876688360908, -94.58382760692051 39.07876688360908, -94.58382760692051 39.07764273315442, -94.58382760692051 39.07651858269976, -94.58527055019522 39.07651858269976, -94.58671349346993 39.07651858269976, -94.58671349346993 39.07539443224512, -94.58671349346993 39.07427028179046, -94.58815643674464 39.07427028179046))"
