,0
0,"POLYGON ((-94.61701530223885 39.04054576815084, -94.61845824551357 39.04054576815084, -94.61990118878828 39.04054576815084, -94.62134413206299 39.04054576815084, -94.62134413206299 39.04166991860549, -94.62134413206299 39.04279406906015, -94.62134413206299 39.04391821951481, -94.62134413206299 39.04504236996947, -94.61990118878828 39.04504236996947, -94.61845824551357 39.04504236996947, -94.61701530223885 39.04504236996947, -94.61557235896414 39.04504236996947, -94.61557235896414 39.04391821951481, -94.61557235896414 39.04279406906015, -94.61557235896414 39.04166991860549, -94.61557235896414 39.04054576815084, -94.61701530223885 39.04054576815084))"
1,"POLYGON ((-94.61701530223885 39.04953897178807, -94.61845824551357 39.04953897178807, -94.61990118878828 39.04953897178807, -94.62134413206299 39.04953897178807, -94.62134413206299 39.05066312224272, -94.62134413206299 39.05178727269738, -94.62134413206299 39.05291142315204, -94.62134413206299 39.0540355736067, -94.61990118878828 39.0540355736067, -94.61845824551357 39.0540355736067, -94.61701530223885 39.0540355736067, -94.61557235896414 39.0540355736067, -94.61557235896414 39.05291142315204, -94.61557235896414 39.05178727269738, -94.61557235896414 39.05066312224272, -94.61557235896414 39.04953897178807, -94.61701530223885 39.04953897178807))"
2,"POLYGON ((-94.61701530223885 39.11249139724869, -94.61845824551357 39.11249139724869, -94.61990118878828 39.11249139724869, -94.62134413206299 39.11249139724869, -94.62134413206299 39.11361554770335, -94.62134413206299 39.114739698158, -94.62134413206299 39.11586384861266, -94.62134413206299 39.11698799906732, -94.61990118878828 39.11698799906732, -94.61845824551357 39.11698799906732, -94.61701530223885 39.11698799906732, -94.61557235896414 39.11698799906732, -94.61557235896414 39.11586384861266, -94.61557235896414 39.114739698158, -94.61557235896414 39.11361554770335, -94.61557235896414 39.11249139724869, -94.61701530223885 39.11249139724869))"
3,"POLYGON ((-94.61124352914001 39.03604916633222, -94.61268647241472 39.03604916633222, -94.61412941568943 39.03604916633222, -94.61557235896414 39.03604916633222, -94.61557235896414 39.03717331678688, -94.61557235896414 39.03829746724153, -94.61557235896414 39.03942161769619, -94.61557235896414 39.04054576815085, -94.61412941568943 39.04054576815085, -94.61268647241472 39.04054576815085, -94.61124352914001 39.04054576815085, -94.6098005858653 39.04054576815085, -94.6098005858653 39.03942161769619, -94.6098005858653 39.03829746724153, -94.6098005858653 39.03717331678688, -94.6098005858653 39.03604916633222, -94.61124352914001 39.03604916633222))"
4,"POLYGON ((-94.61124352914001 39.04054576815084, -94.61268647241472 39.04054576815084, -94.61412941568943 39.04054576815084, -94.61557235896414 39.04054576815084, -94.61557235896414 39.04166991860549, -94.61557235896414 39.04279406906015, -94.61557235896414 39.04391821951481, -94.61557235896414 39.04504236996947, -94.61412941568943 39.04504236996947, -94.61268647241472 39.04504236996947, -94.61124352914001 39.04504236996947, -94.6098005858653 39.04504236996947, -94.6098005858653 39.04391821951481, -94.6098005858653 39.04279406906015, -94.6098005858653 39.04166991860549, -94.6098005858653 39.04054576815084, -94.61124352914001 39.04054576815084))"
5,"POLYGON ((-94.61124352914001 39.04504236996945, -94.61268647241472 39.04504236996945, -94.61412941568943 39.04504236996945, -94.61557235896414 39.04504236996945, -94.61557235896414 39.04616652042411, -94.61557235896414 39.04729067087877, -94.61557235896414 39.04841482133342, -94.61557235896414 39.04953897178808, -94.61412941568943 39.04953897178808, -94.61268647241472 39.04953897178808, -94.61124352914001 39.04953897178808, -94.6098005858653 39.04953897178808, -94.6098005858653 39.04841482133342, -94.6098005858653 39.04729067087877, -94.6098005858653 39.04616652042411, -94.6098005858653 39.04504236996945, -94.61124352914001 39.04504236996945))"
6,"POLYGON ((-94.61124352914001 39.04953897178807, -94.61268647241472 39.04953897178807, -94.61412941568943 39.04953897178807, -94.61557235896414 39.04953897178807, -94.61557235896414 39.05066312224272, -94.61557235896414 39.05178727269738, -94.61557235896414 39.05291142315204, -94.61557235896414 39.0540355736067, -94.61412941568943 39.0540355736067, -94.61268647241472 39.0540355736067, -94.61124352914001 39.0540355736067, -94.6098005858653 39.0540355736067, -94.6098005858653 39.05291142315204, -94.6098005858653 39.05178727269738, -94.6098005858653 39.05066312224272, -94.6098005858653 39.04953897178807, -94.61124352914001 39.04953897178807))"
7,"POLYGON ((-94.61124352914001 39.05403557360668, -94.61268647241472 39.05403557360668, -94.61412941568943 39.05403557360668, -94.61557235896414 39.05403557360668, -94.61557235896414 39.05515972406134, -94.61557235896414 39.056283874516, -94.61557235896414 39.05740802497066, -94.61557235896414 39.05853217542531, -94.61412941568943 39.05853217542531, -94.61268647241472 39.05853217542531, -94.61124352914001 39.05853217542531, -94.6098005858653 39.05853217542531, -94.6098005858653 39.05740802497066, -94.6098005858653 39.056283874516, -94.6098005858653 39.05515972406134, -94.6098005858653 39.05403557360668, -94.61124352914001 39.05403557360668))"
8,"POLYGON ((-94.61124352914001 39.06302877724391, -94.61268647241472 39.06302877724391, -94.61412941568943 39.06302877724391, -94.61557235896414 39.06302877724391, -94.61557235896414 39.06415292769857, -94.61557235896414 39.06527707815323, -94.61557235896414 39.06640122860789, -94.61557235896414 39.06752537906254, -94.61412941568943 39.06752537906254, -94.61268647241472 39.06752537906254, -94.61124352914001 39.06752537906254, -94.6098005858653 39.06752537906254, -94.6098005858653 39.06640122860789, -94.6098005858653 39.06527707815323, -94.6098005858653 39.06415292769857, -94.6098005858653 39.06302877724391, -94.61124352914001 39.06302877724391))"
9,"POLYGON ((-94.61124352914001 39.10349819361146, -94.61268647241472 39.10349819361146, -94.61412941568943 39.10349819361146, -94.61557235896414 39.10349819361146, -94.61557235896414 39.10462234406612, -94.61557235896414 39.10574649452077, -94.61557235896414 39.10687064497543, -94.61557235896414 39.10799479543009, -94.61412941568943 39.10799479543009, -94.61268647241472 39.10799479543009, -94.61124352914001 39.10799479543009, -94.6098005858653 39.10799479543009, -94.6098005858653 39.10687064497543, -94.6098005858653 39.10574649452077, -94.6098005858653 39.10462234406612, -94.6098005858653 39.10349819361146, -94.61124352914001 39.10349819361146))"
