,0
0,"POLYGON ((-94.59537115311819 39.04953897178806, -94.59537115311821 39.04953897178806, -94.59537115311821 39.04953897178807, -94.59537115311821 39.05178727269737, -94.59825703966762 39.05178727269737, -94.59825703966763 39.05178727269737, -94.59825703966763 39.05178727269738, -94.59825703966763 39.0540355736067, -94.59825703966763 39.0540355736067, -94.59825703966762 39.0540355736067, -94.59537115311821 39.0540355736067, -94.59537115311821 39.056283874516, -94.59537115311821 39.05628387451601, -94.59537115311819 39.05628387451601, -94.58671349346993 39.05628387451601, -94.58671349346992 39.05628387451601, -94.58671349346992 39.056283874516, -94.58671349346992 39.0540355736067, -94.58382760692051 39.0540355736067, -94.58382760692049 39.0540355736067, -94.58382760692049 39.0540355736067, -94.58382760692049 39.05178727269738, -94.58382760692049 39.05178727269737, -94.58382760692051 39.05178727269737, -94.58671349346992 39.05178727269737, -94.58671349346992 39.04953897178807, -94.58671349346992 39.04953897178806, -94.58671349346993 39.04953897178806, -94.59537115311819 39.04953897178806))"
1,"POLYGON ((-94.59248526656877 39.04054576815083, -94.59248526656879 39.04054576815083, -94.59248526656879 39.04054576815084, -94.59248526656879 39.04504236996947, -94.59248526656879 39.04504236996947, -94.59248526656877 39.04504236996947, -94.58959938001935 39.04504236996947, -94.58959938001934 39.04504236996947, -94.58959938001934 39.04504236996947, -94.58959938001934 39.04054576815084, -94.58959938001934 39.04054576815083, -94.58959938001935 39.04054576815083, -94.59248526656877 39.04054576815083))"
2,"POLYGON ((-94.58094172037109 39.0900083881556, -94.5809417203711 39.0900083881556, -94.5809417203711 39.09000838815561, -94.5809417203711 39.09450498997424, -94.5809417203711 39.09450498997425, -94.58094172037109 39.09450498997425, -94.57516994727224 39.09450498997425, -94.57516994727223 39.09450498997425, -94.57516994727223 39.09450498997424, -94.57516994727223 39.09000838815561, -94.57516994727223 39.0900083881556, -94.57516994727224 39.0900083881556, -94.58094172037109 39.0900083881556))"
3,"POLYGON ((-94.57805583382167 39.11249139724868, -94.57805583382168 39.11249139724868, -94.57805583382168 39.11249139724869, -94.57805583382168 39.114739698158, -94.58094172037109 39.114739698158, -94.5809417203711 39.114739698158, -94.5809417203711 39.114739698158, -94.5809417203711 39.11698799906732, -94.5809417203711 39.11698799906733, -94.58094172037109 39.11698799906733, -94.57805583382168 39.11698799906733, -94.57805583382168 39.11923629997662, -94.57805583382168 39.11923629997663, -94.57805583382167 39.11923629997663, -94.57516994727224 39.11923629997663, -94.57516994727223 39.11923629997663, -94.57516994727223 39.11923629997662, -94.57516994727223 39.11698799906733, -94.57228406072282 39.11698799906733, -94.57228406072281 39.11698799906733, -94.57228406072281 39.11698799906732, -94.57228406072281 39.11249139724869, -94.57228406072281 39.11249139724868, -94.57228406072282 39.11249139724868, -94.57805583382167 39.11249139724868))"
4,"POLYGON ((-94.58382760692051 39.07876688360907, -94.58382760692052 39.07876688360907, -94.58382760692052 39.07876688360908, -94.58382760692052 39.08101518451837, -94.58671349346993 39.08101518451837, -94.58671349346994 39.08101518451837, -94.58671349346994 39.08101518451838, -94.58671349346994 39.08326348542769, -94.58959938001935 39.08326348542769, -94.58959938001937 39.08326348542769, -94.58959938001937 39.08326348542769, -94.58959938001937 39.08551178633701, -94.58959938001937 39.08551178633702, -94.58959938001935 39.08551178633702, -94.57805583382167 39.08551178633702, -94.57805583382165 39.08551178633702, -94.57805583382165 39.08551178633701, -94.57805583382165 39.08101518451838, -94.57805583382165 39.08101518451837, -94.57805583382167 39.08101518451837, -94.58094172037107 39.08101518451837, -94.58094172037107 39.07876688360908, -94.58094172037107 39.07876688360907, -94.58094172037109 39.07876688360907, -94.58382760692051 39.07876688360907))"
5,"POLYGON ((-94.58671349346993 39.11024309633938, -94.58671349346994 39.11024309633938, -94.58671349346994 39.11024309633939, -94.58671349346994 39.11698799906732, -94.58671349346994 39.11698799906733, -94.58671349346993 39.11698799906733, -94.58382760692051 39.11698799906733, -94.58382760692049 39.11698799906733, -94.58382760692049 39.11698799906732, -94.58382760692049 39.11473969815801, -94.58094172037109 39.11473969815801, -94.58094172037107 39.11473969815801, -94.58094172037107 39.114739698158, -94.58094172037107 39.11249139724869, -94.58094172037107 39.11249139724868, -94.58094172037109 39.11249139724868, -94.58382760692049 39.11249139724868, -94.58382760692049 39.11024309633939, -94.58382760692049 39.11024309633938, -94.58382760692051 39.11024309633938, -94.58671349346993 39.11024309633938))"
6,"POLYGON ((-94.58671349346993 39.0877600872463, -94.58671349346994 39.0877600872463, -94.58671349346994 39.08776008724631, -94.58671349346994 39.09225668906493, -94.58671349346994 39.09225668906493, -94.58671349346993 39.09225668906493, -94.58094172037109 39.09225668906493, -94.58094172037107 39.09225668906493, -94.58094172037107 39.09225668906493, -94.58094172037107 39.09000838815561, -94.58094172037107 39.0900083881556, -94.58094172037109 39.0900083881556, -94.58382760692049 39.0900083881556, -94.58382760692049 39.08776008724631, -94.58382760692049 39.0877600872463, -94.58382760692051 39.0877600872463, -94.58671349346993 39.0877600872463))"
7,"POLYGON ((-94.58959938001935 39.10349819361145, -94.58959938001937 39.10349819361145, -94.58959938001937 39.10349819361146, -94.58959938001937 39.10574649452077, -94.58959938001937 39.10574649452078, -94.58959938001935 39.10574649452078, -94.58382760692051 39.10574649452078, -94.58382760692049 39.10574649452078, -94.58382760692049 39.10574649452077, -94.58382760692049 39.10349819361146, -94.58382760692049 39.10349819361145, -94.58382760692051 39.10349819361145, -94.58959938001935 39.10349819361145))"
8,"POLYGON ((-94.59537115311819 39.10124989270215, -94.59537115311821 39.10124989270215, -94.59537115311821 39.10124989270216, -94.59537115311821 39.10574649452077, -94.59537115311821 39.10574649452078, -94.59537115311819 39.10574649452078, -94.59248526656879 39.10574649452078, -94.59248526656879 39.10799479543009, -94.59248526656879 39.10799479543009, -94.59248526656877 39.10799479543009, -94.58959938001935 39.10799479543009, -94.58959938001934 39.10799479543009, -94.58959938001934 39.10799479543009, -94.58959938001934 39.10124989270216, -94.58959938001934 39.10124989270215, -94.58959938001935 39.10124989270215, -94.59537115311819 39.10124989270215))"
9,"POLYGON ((-94.59248526656877 39.0900083881556, -94.59248526656879 39.0900083881556, -94.59248526656879 39.09000838815561, -94.59248526656879 39.09450498997424, -94.59248526656879 39.09450498997425, -94.59248526656877 39.09450498997425, -94.58671349346993 39.09450498997425, -94.58671349346992 39.09450498997425, -94.58671349346992 39.09450498997424, -94.58671349346992 39.09000838815561, -94.58671349346992 39.0900083881556, -94.58671349346993 39.0900083881556, -94.59248526656877 39.0900083881556))"
