start_grid,start_basegrid_idx,0,1
0,0,POINT (-93.3275719440274 44.91064084893208),0.16129032258064516
0,1,POINT (-93.3275719440274 44.91288914984139),0.0
0,2,POINT (-93.3243986168636 44.91064084893208),0.0
0,3,POINT (-93.3243986168636 44.91288914984139),0.0
1,0,POINT (-93.3275719440274 44.92862725620657),0.03225806451612903
1,1,POINT (-93.3275719440274 44.93087555711588),0.0
1,2,POINT (-93.3243986168636 44.92862725620657),0.0
1,3,POINT (-93.3243986168636 44.93087555711588),0.0
2,0,POINT (-93.3275719440274 44.93762045984381),0.0
2,1,POINT (-93.3275719440274 44.93986876075313),0.1935483870967742
2,2,POINT (-93.3243986168636 44.93762045984381),0.0
2,3,POINT (-93.3243986168636 44.93986876075313),0.0
3,0,POINT (-93.3275719440274 44.94211706166244),0.1935483870967742
3,1,POINT (-93.3275719440274 44.94436536257175),0.0
3,2,POINT (-93.3243986168636 44.94211706166244),0.0
3,3,POINT (-93.3243986168636 44.94436536257175),0.25806451612903225
4,0,POINT (-93.3275719440274 44.94661366348106),0.0
4,1,POINT (-93.3275719440274 44.94886196439037),0.9354838709677419
4,2,POINT (-93.3243986168636 44.94661366348106),0.06451612903225806
4,3,POINT (-93.3243986168636 44.94886196439037),0.0
5,0,POINT (-93.32122528969981 44.9331238580252),0.0
5,1,POINT (-93.32122528969981 44.9353721589345),0.1935483870967742
5,2,POINT (-93.31805196253602 44.9331238580252),0.0
5,3,POINT (-93.31805196253602 44.9353721589345),0.03225806451612903
6,0,POINT (-93.32122528969981 44.93762045984381),0.16129032258064516
6,1,POINT (-93.32122528969981 44.93986876075313),0.0
6,2,POINT (-93.31805196253602 44.93762045984381),0.0
6,3,POINT (-93.31805196253602 44.93986876075313),0.0
7,0,POINT (-93.32122528969981 44.94211706166244),0.0
7,1,POINT (-93.32122528969981 44.94436536257175),0.12903225806451613
7,2,POINT (-93.31805196253602 44.94211706166244),0.0
7,3,POINT (-93.31805196253602 44.94436536257175),0.0
8,0,POINT (-93.32122528969981 44.94661366348106),1.6774193548387097
8,1,POINT (-93.32122528969981 44.94886196439037),1.225806451612903
8,2,POINT (-93.31805196253602 44.94661366348106),0.0
8,3,POINT (-93.31805196253602 44.94886196439037),1.064516129032258
9,0,POINT (-93.32122528969981 44.95111026529968),0.0
9,1,POINT (-93.32122528969981 44.95335856620899),0.0
9,2,POINT (-93.31805196253602 44.95111026529968),0.45161290322580644
9,3,POINT (-93.31805196253602 44.95335856620899),0.0
10,0,POINT (-93.32122528969981 44.97808987621143),0.0
10,1,POINT (-93.32122528969981 44.98033817712074),0.0
10,2,POINT (-93.31805196253602 44.97808987621143),0.0
10,3,POINT (-93.31805196253602 44.98033817712074),0.0967741935483871
11,0,POINT (-93.32122528969981 44.9915796816673),0.0
11,1,POINT (-93.32122528969981 44.9938279825766),0.0
11,2,POINT (-93.31805196253602 44.9915796816673),0.0
11,3,POINT (-93.31805196253602 44.9938279825766),0.03225806451612903
12,0,POINT (-93.32122528969981 45.00956608894178),0.0
12,1,POINT (-93.32122528969981 45.0118143898511),0.0
12,2,POINT (-93.31805196253602 45.00956608894178),0.0
12,3,POINT (-93.31805196253602 45.0118143898511),0.06451612903225806
13,0,POINT (-93.32122528969981 45.01855929257903),0.0
13,1,POINT (-93.32122528969981 45.02080759348834),0.0
13,2,POINT (-93.31805196253602 45.01855929257903),0.2903225806451613
13,3,POINT (-93.31805196253602 45.02080759348834),0.0
14,0,POINT (-93.32122528969981 45.02305589439765),0.0
14,1,POINT (-93.32122528969981 45.02530419530696),0.0
14,2,POINT (-93.31805196253602 45.02305589439765),0.0
14,3,POINT (-93.31805196253602 45.02530419530696),0.06451612903225806
15,0,POINT (-93.31487863537224 44.92413065438795),0.25806451612903225
15,1,POINT (-93.31487863537224 44.92637895529726),0.0
15,2,POINT (-93.31170530820842 44.92413065438795),0.0
15,3,POINT (-93.31170530820842 44.92637895529726),0.0
16,0,POINT (-93.31487863537224 44.92862725620657),0.0967741935483871
16,1,POINT (-93.31487863537224 44.93087555711588),0.0
16,2,POINT (-93.31170530820842 44.92862725620657),0.0
16,3,POINT (-93.31170530820842 44.93087555711588),0.0
17,0,POINT (-93.31487863537224 44.9331238580252),0.0
17,1,POINT (-93.31567196716321 44.93593423416183),5.903225806451613
17,2,POINT (-93.31170530820842 44.9331238580252),0.0
17,3,POINT (-93.31170530820842 44.9353721589345),0.0
18,0,POINT (-93.31487863537224 44.94661366348106),0.0
18,1,POINT (-93.31487863537224 44.94886196439037),0.22580645161290322
18,2,POINT (-93.31170530820842 44.94661366348106),0.0
18,3,POINT (-93.31170530820842 44.94886196439037),0.0
19,0,POINT (-93.31487863537224 44.95111026529968),1.5161290322580645
19,1,POINT (-93.31487863537224 44.95335856620899),0.0
19,2,POINT (-93.31170530820842 44.95111026529968),0.0
19,3,POINT (-93.31170530820842 44.95335856620899),0.0
20,0,POINT (-93.31487863537224 44.96010346893694),0.0
20,1,POINT (-93.31487863537224 44.96235176984624),1.096774193548387
20,2,POINT (-93.31170530820842 44.96010346893694),0.0
20,3,POINT (-93.31170530820842 44.96235176984624),0.0
21,0,POINT (-93.31487863537224 44.9915796816673),0.06451612903225806
21,1,POINT (-93.31487863537224 44.9938279825766),0.0
21,2,POINT (-93.31170530820842 44.9915796816673),0.06451612903225806
21,3,POINT (-93.31170530820842 44.9938279825766),0.22580645161290322
22,0,POINT (-93.31487863537224 44.99607628348592),0.0967741935483871
22,1,POINT (-93.31487863537224 44.99832458439523),0.935483870967742
22,2,POINT (-93.31170530820842 44.99607628348592),0.06451612903225806
22,3,POINT (-93.31170530820842 44.99832458439523),1.032258064516129
23,0,POINT (-93.31487863537224 45.00057288530454),0.2903225806451613
23,1,POINT (-93.31487863537224 45.00282118621385),0.0
23,2,POINT (-93.31170530820842 45.00057288530454),0.0
23,3,POINT (-93.31170530820842 45.00282118621385),0.0967741935483871
24,0,POINT (-93.31487863537224 45.00506948712316),0.03225806451612903
24,1,POINT (-93.31487863537224 45.00731778803247),0.12903225806451613
24,2,POINT (-93.31170530820842 45.00506948712316),0.12903225806451613
24,3,POINT (-93.31170530820842 45.00731778803247),0.0
25,0,POINT (-93.31487863537224 45.00956608894178),0.3548387096774194
25,1,POINT (-93.31487863537224 45.0118143898511),0.0
25,2,POINT (-93.31170530820842 45.00956608894178),0.0
25,3,POINT (-93.31170530820842 45.0118143898511),0.1935483870967742
26,0,POINT (-93.31487863537224 45.01406269076041),0.0
