,0
0,"POLYGON ((-93.3291586076093 44.8870336893843, -93.32281195328171 44.8870336893843, -93.32281195328171 44.89153029120293, -93.3291586076093 44.89153029120293, -93.3291586076093 44.8870336893843))"
1,"POLYGON ((-93.3291586076093 44.89153029120293, -93.32281195328171 44.89153029120293, -93.32281195328171 44.89602689302155, -93.3291586076093 44.89602689302155, -93.3291586076093 44.89153029120293))"
2,"POLYGON ((-93.3291586076093 44.89602689302155, -93.32281195328171 44.89602689302155, -93.32281195328171 44.90052349484017, -93.3291586076093 44.90052349484017, -93.3291586076093 44.89602689302155))"
3,"POLYGON ((-93.3291586076093 44.90052349484017, -93.32281195328171 44.90052349484017, -93.32281195328171 44.9050200966588, -93.3291586076093 44.9050200966588, -93.3291586076093 44.90052349484017))"
4,"POLYGON ((-93.3291586076093 44.9050200966588, -93.32281195328171 44.9050200966588, -93.32281195328171 44.90951669847742, -93.3291586076093 44.90951669847742, -93.3291586076093 44.9050200966588))"
5,"POLYGON ((-93.3291586076093 44.90951669847742, -93.32281195328171 44.90951669847742, -93.32281195328171 44.91401330029604, -93.3291586076093 44.91401330029604, -93.3291586076093 44.90951669847742))"
6,"POLYGON ((-93.3291586076093 44.91401330029604, -93.32281195328171 44.91401330029604, -93.32281195328171 44.91850990211466, -93.3291586076093 44.91850990211466, -93.3291586076093 44.91401330029604))"
7,"POLYGON ((-93.3291586076093 44.91850990211466, -93.32281195328171 44.91850990211466, -93.32281195328171 44.92300650393329, -93.3291586076093 44.92300650393329, -93.3291586076093 44.91850990211466))"
8,"POLYGON ((-93.3291586076093 44.92300650393329, -93.32281195328171 44.92300650393329, -93.32281195328171 44.92750310575191, -93.3291586076093 44.92750310575191, -93.3291586076093 44.92300650393329))"
9,"POLYGON ((-93.3291586076093 44.92750310575191, -93.32281195328171 44.92750310575191, -93.32281195328171 44.93199970757053, -93.3291586076093 44.93199970757053, -93.3291586076093 44.92750310575191))"
10,"POLYGON ((-93.3291586076093 44.93199970757053, -93.32281195328171 44.93199970757053, -93.32281195328171 44.93649630938916, -93.3291586076093 44.93649630938916, -93.3291586076093 44.93199970757053))"
11,"POLYGON ((-93.3291586076093 44.93649630938916, -93.32281195328171 44.93649630938916, -93.32281195328171 44.94099291120778, -93.3291586076093 44.94099291120778, -93.3291586076093 44.93649630938916))"
12,"POLYGON ((-93.3291586076093 44.94099291120778, -93.32281195328171 44.94099291120778, -93.32281195328171 44.9454895130264, -93.3291586076093 44.9454895130264, -93.3291586076093 44.94099291120778))"
13,"POLYGON ((-93.3291586076093 44.9454895130264, -93.32281195328171 44.9454895130264, -93.32281195328171 44.94998611484503, -93.3291586076093 44.94998611484503, -93.3291586076093 44.9454895130264))"
14,"POLYGON ((-93.3291586076093 44.94998611484503, -93.32281195328171 44.94998611484503, -93.32281195328171 44.95448271666365, -93.3291586076093 44.95448271666365, -93.3291586076093 44.94998611484503))"
15,"POLYGON ((-93.3291586076093 44.95448271666365, -93.32281195328171 44.95448271666365, -93.32281195328171 44.95897931848227, -93.3291586076093 44.95897931848227, -93.3291586076093 44.95448271666365))"
16,"POLYGON ((-93.3291586076093 44.95897931848227, -93.32281195328171 44.95897931848227, -93.32281195328171 44.96347592030089, -93.3291586076093 44.96347592030089, -93.3291586076093 44.95897931848227))"
17,"POLYGON ((-93.3291586076093 44.96347592030089, -93.32281195328171 44.96347592030089, -93.32281195328171 44.96797252211952, -93.3291586076093 44.96797252211952, -93.3291586076093 44.96347592030089))"
18,"POLYGON ((-93.3291586076093 44.96797252211952, -93.32281195328171 44.96797252211952, -93.32281195328171 44.97246912393814, -93.3291586076093 44.97246912393814, -93.3291586076093 44.96797252211952))"
19,"POLYGON ((-93.3291586076093 44.97246912393814, -93.32281195328171 44.97246912393814, -93.32281195328171 44.97696572575676, -93.3291586076093 44.97696572575676, -93.3291586076093 44.97246912393814))"
20,"POLYGON ((-93.3291586076093 44.97696572575676, -93.32281195328171 44.97696572575676, -93.32281195328171 44.98146232757539, -93.3291586076093 44.98146232757539, -93.3291586076093 44.97696572575676))"
21,"POLYGON ((-93.3291586076093 44.98146232757539, -93.32281195328171 44.98146232757539, -93.32281195328171 44.98595892939401, -93.3291586076093 44.98595892939401, -93.3291586076093 44.98146232757539))"
