,0
0,"POLYGON ((-93.3291586076093 44.90951669847742, -93.32281195328171 44.90951669847742, -93.32281195328171 44.91401330029604, -93.3291586076093 44.91401330029604, -93.3291586076093 44.90951669847742))"
1,"POLYGON ((-93.3291586076093 44.92750310575191, -93.32281195328171 44.92750310575191, -93.32281195328171 44.93199970757053, -93.3291586076093 44.93199970757053, -93.3291586076093 44.92750310575191))"
2,"POLYGON ((-93.3291586076093 44.93649630938916, -93.32281195328171 44.93649630938916, -93.32281195328171 44.94099291120778, -93.3291586076093 44.94099291120778, -93.3291586076093 44.93649630938916))"
3,"POLYGON ((-93.3291586076093 44.94099291120778, -93.32281195328171 44.94099291120778, -93.32281195328171 44.9454895130264, -93.3291586076093 44.9454895130264, -93.3291586076093 44.94099291120778))"
4,"POLYGON ((-93.3291586076093 44.9454895130264, -93.32281195328171 44.9454895130264, -93.32281195328171 44.94998611484503, -93.3291586076093 44.94998611484503, -93.3291586076093 44.9454895130264))"
5,"POLYGON ((-93.32281195328171 44.93199970757053, -93.31646529895413 44.93199970757053, -93.31646529895413 44.93649630938916, -93.32281195328171 44.93649630938916, -93.32281195328171 44.93199970757053))"
6,"POLYGON ((-93.32281195328171 44.93649630938916, -93.31646529895413 44.93649630938916, -93.31646529895413 44.94099291120778, -93.32281195328171 44.94099291120778, -93.32281195328171 44.93649630938916))"
7,"POLYGON ((-93.32281195328171 44.94099291120778, -93.31646529895413 44.94099291120778, -93.31646529895413 44.9454895130264, -93.32281195328171 44.9454895130264, -93.32281195328171 44.94099291120778))"
8,"POLYGON ((-93.32281195328171 44.9454895130264, -93.31646529895413 44.9454895130264, -93.31646529895413 44.94998611484503, -93.32281195328171 44.94998611484503, -93.32281195328171 44.9454895130264))"
9,"POLYGON ((-93.32281195328171 44.94998611484503, -93.31646529895413 44.94998611484503, -93.31646529895413 44.95448271666365, -93.32281195328171 44.95448271666365, -93.32281195328171 44.94998611484503))"
10,"POLYGON ((-93.32281195328171 44.97696572575676, -93.31646529895413 44.97696572575676, -93.31646529895413 44.98146232757539, -93.32281195328171 44.98146232757539, -93.32281195328171 44.97696572575676))"
11,"POLYGON ((-93.32281195328171 44.99045553121263, -93.31646529895413 44.99045553121263, -93.31646529895413 44.99495213303125, -93.32281195328171 44.99495213303125, -93.32281195328171 44.99045553121263))"
12,"POLYGON ((-93.32281195328171 45.00844193848712, -93.31646529895413 45.00844193848712, -93.31646529895413 45.01293854030575, -93.32281195328171 45.01293854030575, -93.32281195328171 45.00844193848712))"
13,"POLYGON ((-93.32281195328171 45.01743514212437, -93.31646529895413 45.01743514212437, -93.31646529895413 45.02193174394299, -93.32281195328171 45.02193174394299, -93.32281195328171 45.01743514212437))"
14,"POLYGON ((-93.32281195328171 45.02193174394299, -93.31646529895413 45.02193174394299, -93.31646529895413 45.02642834576162, -93.32281195328171 45.02642834576162, -93.32281195328171 45.02193174394299))"
15,"POLYGON ((-93.31646529895413 44.92300650393329, -93.31011864462654 44.92300650393329, -93.31011864462654 44.92750310575191, -93.31646529895413 44.92750310575191, -93.31646529895413 44.92300650393329))"
16,"POLYGON ((-93.31646529895413 44.92750310575191, -93.31011864462654 44.92750310575191, -93.31011864462654 44.93199970757053, -93.31646529895413 44.93199970757053, -93.31646529895413 44.92750310575191))"
17,"POLYGON ((-93.31646529895413 44.93199970757053, -93.31011864462654 44.93199970757053, -93.31011864462654 44.93649630938916, -93.31646529895413 44.93649630938916, -93.31646529895413 44.93199970757053))"
18,"POLYGON ((-93.31646529895413 44.9454895130264, -93.31011864462654 44.9454895130264, -93.31011864462654 44.94998611484503, -93.31646529895413 44.94998611484503, -93.31646529895413 44.9454895130264))"
19,"POLYGON ((-93.31646529895413 44.94998611484503, -93.31011864462654 44.94998611484503, -93.31011864462654 44.95448271666365, -93.31646529895413 44.95448271666365, -93.31646529895413 44.94998611484503))"
20,"POLYGON ((-93.31646529895413 44.95897931848227, -93.31011864462654 44.95897931848227, -93.31011864462654 44.96347592030089, -93.31646529895413 44.96347592030089, -93.31646529895413 44.95897931848227))"
21,"POLYGON ((-93.31646529895413 44.99045553121263, -93.31011864462654 44.99045553121263, -93.31011864462654 44.99495213303125, -93.31646529895413 44.99495213303125, -93.31646529895413 44.99045553121263))"
22,"POLYGON ((-93.31646529895413 44.99495213303125, -93.31011864462654 44.99495213303125, -93.31011864462654 44.99944873484988, -93.31646529895413 44.99944873484988, -93.31646529895413 44.99495213303125))"
23,"POLYGON ((-93.31646529895413 44.99944873484988, -93.31011864462654 44.99944873484988, -93.31011864462654 45.0039453366685, -93.31646529895413 45.0039453366685, -93.31646529895413 44.99944873484988))"
24,"POLYGON ((-93.31646529895413 45.0039453366685, -93.31011864462654 45.0039453366685, -93.31011864462654 45.00844193848712, -93.31646529895413 45.00844193848712, -93.31646529895413 45.0039453366685))"
25,"POLYGON ((-93.31646529895413 45.00844193848712, -93.31011864462654 45.00844193848712, -93.31011864462654 45.01293854030575, -93.31646529895413 45.01293854030575, -93.31646529895413 45.00844193848712))"
26,"POLYGON ((-93.31646529895413 45.01293854030575, -93.31011864462654 45.01293854030575, -93.31011864462654 45.01743514212437, -93.31646529895413 45.01743514212437, -93.31646529895413 45.01293854030575))"
27,"POLYGON ((-93.31011864462654 44.90951669847742, -93.30377199029896 44.90951669847742, -93.30377199029896 44.91401330029604, -93.31011864462654 44.91401330029604, -93.31011864462654 44.90951669847742))"
28,"POLYGON ((-93.31011864462654 44.92300650393329, -93.30377199029896 44.92300650393329, -93.30377199029896 44.92750310575191, -93.31011864462654 44.92750310575191, -93.31011864462654 44.92300650393329))"
29,"POLYGON ((-93.31011864462654 44.94099291120778, -93.30377199029896 44.94099291120778, -93.30377199029896 44.9454895130264, -93.31011864462654 44.9454895130264, -93.31011864462654 44.94099291120778))"
30,"POLYGON ((-93.31011864462654 44.9454895130264, -93.30377199029896 44.9454895130264, -93.30377199029896 44.94998611484503, -93.31011864462654 44.94998611484503, -93.31011864462654 44.9454895130264))"
31,"POLYGON ((-93.31011864462654 44.95897931848227, -93.30377199029896 44.95897931848227, -93.30377199029896 44.96347592030089, -93.31011864462654 44.96347592030089, -93.31011864462654 44.95897931848227))"
