,0
0,"POLYGON ((-93.3291586076093 44.90951669847745, -93.32598528044066 44.90951669847745, -93.32598528044066 44.91176499938677, -93.3291586076093 44.91176499938677, -93.3291586076093 44.90951669847745))"
1,"POLYGON ((-93.3291586076093 44.92750310575197, -93.32598528044066 44.92750310575197, -93.32598528044066 44.92975140666129, -93.3291586076093 44.92975140666129, -93.3291586076093 44.92750310575197))"
2,"POLYGON ((-93.3291586076093 44.93874461029855, -93.32598528044066 44.93874461029855, -93.32598528044066 44.94099291120786, -93.3291586076093 44.94099291120786, -93.3291586076093 44.93874461029855))"
3,"POLYGON ((-93.3291586076093 44.94099291120786, -93.32598528044066 44.94099291120786, -93.32598528044066 44.94324121211718, -93.3291586076093 44.94324121211718, -93.3291586076093 44.94099291120786))"
4,"POLYGON ((-93.3291586076093 44.94773781393581, -93.32598528044066 44.94773781393581, -93.32598528044066 44.94998611484512, -93.3291586076093 44.94998611484512, -93.3291586076093 44.94773781393581))"
5,"POLYGON ((-93.32598528044066 44.94324121211718, -93.32281195327202 44.94324121211718, -93.32281195327202 44.94548951302649, -93.32598528044066 44.94548951302649, -93.32598528044066 44.94324121211718))"
6,"POLYGON ((-93.32598528044066 44.94548951302649, -93.32281195327202 44.94548951302649, -93.32281195327202 44.94773781393581, -93.32598528044066 44.94773781393581, -93.32598528044066 44.94548951302649))"
7,"POLYGON ((-93.32281195327202 44.93424800847992, -93.31963862610338 44.93424800847992, -93.31963862610338 44.93649630938923, -93.32281195327202 44.93649630938923, -93.32281195327202 44.93424800847992))"
8,"POLYGON ((-93.32281195327202 44.93649630938923, -93.31963862610338 44.93649630938923, -93.31963862610338 44.93874461029855, -93.32281195327202 44.93874461029855, -93.32281195327202 44.93649630938923))"
9,"POLYGON ((-93.32281195327202 44.94324121211718, -93.31963862610338 44.94324121211718, -93.31963862610338 44.94548951302649, -93.32281195327202 44.94548951302649, -93.32281195327202 44.94324121211718))"
10,"POLYGON ((-93.32281195327202 44.94548951302649, -93.31963862610338 44.94548951302649, -93.31963862610338 44.94773781393581, -93.32281195327202 44.94773781393581, -93.32281195327202 44.94548951302649))"
11,"POLYGON ((-93.32281195327202 44.94773781393581, -93.31963862610338 44.94773781393581, -93.31963862610338 44.94998611484512, -93.32281195327202 44.94998611484512, -93.32281195327202 44.94773781393581))"
12,"POLYGON ((-93.31963862610338 44.93424800847992, -93.31646529893474 44.93424800847992, -93.31646529893474 44.93649630938923, -93.31963862610338 44.93649630938923, -93.31963862610338 44.93424800847992))"
13,"POLYGON ((-93.31963862610338 44.94773781393581, -93.31646529893474 44.94773781393581, -93.31646529893474 44.94998611484512, -93.31963862610338 44.94998611484512, -93.31963862610338 44.94773781393581))"
14,"POLYGON ((-93.31963862610338 44.94998611484512, -93.31646529893474 44.94998611484512, -93.31646529893474 44.95223441575444, -93.31963862610338 44.95223441575444, -93.31963862610338 44.94998611484512))"
15,"POLYGON ((-93.31963862610338 44.97921402666622, -93.31646529893474 44.97921402666622, -93.31646529893474 44.98146232757554, -93.31963862610338 44.98146232757554, -93.31963862610338 44.97921402666622))"
16,"POLYGON ((-93.31963862610338 44.99270383212211, -93.31646529893474 44.99270383212211, -93.31646529893474 44.99495213303143, -93.31963862610338 44.99495213303143, -93.31963862610338 44.99270383212211))"
17,"POLYGON ((-93.31963862610338 45.01069023939663, -93.31646529893474 45.01069023939663, -93.31646529893474 45.01293854030595, -93.31963862610338 45.01293854030595, -93.31963862610338 45.01069023939663))"
18,"POLYGON ((-93.31963862610338 45.01743514212458, -93.31646529893474 45.01743514212458, -93.31646529893474 45.01968344303389, -93.31963862610338 45.01968344303389, -93.31963862610338 45.01743514212458))"
19,"POLYGON ((-93.31963862610338 45.02418004485252, -93.31646529893474 45.02418004485252, -93.31646529893474 45.02642834576184, -93.31963862610338 45.02642834576184, -93.31963862610338 45.02418004485252))"
