,0
0,"POLYGON ((-93.29583867238946 44.9454895130264, -93.29742533597137 44.9454895130264, -93.29742533597137 44.94661366348106, -93.29742533597137 44.94773781393572, -93.29901199955324 44.94773781393572, -93.30059866313515 44.94773781393572, -93.30059866313515 44.94886196439037, -93.30059866313515 44.94998611484503, -93.29901199955324 44.94998611484503, -93.29742533597137 44.94998611484503, -93.29742533597137 44.95111026529968, -93.29742533597137 44.95223441575434, -93.29583867238946 44.95223441575434, -93.29425200880758 44.95223441575434, -93.29425200880758 44.95111026529968, -93.29425200880758 44.94998611484503, -93.29425200880758 44.94998611484503, -93.29425200880758 44.94886196439037, -93.29425200880758 44.94773781393572, -93.29425200880758 44.94661366348106, -93.29425200880758 44.9454895130264, -93.29583867238946 44.9454895130264))"
1,"POLYGON ((-93.28314536373429 44.97246912393814, -93.28473202731618 44.97246912393814, -93.2847320273162 44.97246912393814, -93.28631869089807 44.97246912393814, -93.28790535447997 44.97246912393814, -93.28790535447997 44.9735932743928, -93.28790535447997 44.97471742484746, -93.28631869089807 44.97471742484746, -93.2847320273162 44.97471742484746, -93.2847320273162 44.97584157530211, -93.2847320273162 44.97696572575677, -93.28314536373429 44.97696572575677, -93.2815587001524 44.97696572575677, -93.2815587001524 44.97584157530211, -93.2815587001524 44.97471742484746, -93.2815587001524 44.9735932743928, -93.2815587001524 44.97246912393814, -93.28314536373429 44.97246912393814))"
2,"POLYGON ((-93.28949201806188 44.99720043394057, -93.29107868164378 44.99720043394057, -93.29107868164378 44.99832458439523, -93.29107868164378 44.99944873484988, -93.29266534522566 44.99944873484988, -93.29425200880756 44.99944873484988, -93.29425200880756 45.00057288530454, -93.29425200880756 45.00169703575919, -93.29266534522566 45.00169703575919, -93.29107868164378 45.00169703575919, -93.29107868164378 45.00282118621385, -93.29107868164378 45.00394533666851, -93.28949201806188 45.00394533666851, -93.28790535447999 45.00394533666851, -93.28790535447999 45.00282118621385, -93.28790535447999 45.00169703575919, -93.28790535447999 45.00057288530454, -93.28790535447999 44.99944873484989, -93.28790535447999 44.99944873484988, -93.28790535447999 44.99832458439523, -93.28790535447999 44.99720043394057, -93.28949201806188 44.99720043394057))"
3,"POLYGON ((-93.28949201806188 44.95897931848227, -93.29107868164378 44.95897931848227, -93.29107868164378 44.96010346893693, -93.29107868164378 44.96122761939159, -93.29266534522566 44.96122761939159, -93.29425200880756 44.96122761939159, -93.29425200880756 44.96235176984624, -93.29425200880756 44.9634759203009, -93.29266534522566 44.9634759203009, -93.29107868164378 44.9634759203009, -93.29107868164377 44.9634759203009, -93.28949201806188 44.9634759203009, -93.28790535447999 44.9634759203009, -93.28790535447999 44.96235176984624, -93.28790535447999 44.96122761939159, -93.28790535447999 44.96010346893693, -93.28790535447999 44.95897931848227, -93.28949201806188 44.95897931848227))"
4,"POLYGON ((-93.28949201806188 44.94324121211709, -93.29107868164378 44.94324121211709, -93.29107868164378 44.94436536257175, -93.29107868164378 44.9454895130264, -93.29266534522566 44.9454895130264, -93.29425200880756 44.9454895130264, -93.29425200880756 44.94661366348106, -93.29425200880756 44.94773781393572, -93.29266534522566 44.94773781393572, -93.29107868164378 44.94773781393572, -93.29107868164377 44.94773781393572, -93.28949201806188 44.94773781393572, -93.28790535447999 44.94773781393572, -93.28790535447999 44.94661366348106, -93.28790535447999 44.94548951302641, -93.28790535447999 44.9454895130264, -93.28790535447999 44.94436536257175, -93.28790535447999 44.94324121211709, -93.28949201806188 44.94324121211709))"
5,"POLYGON ((-93.28314536373429 44.96572422121021, -93.2847320273162 44.96572422121021, -93.2847320273162 44.96684837166487, -93.2847320273162 44.96797252211952, -93.28631869089807 44.96797252211952, -93.28790535447997 44.96797252211952, -93.28790535447997 44.96909667257417, -93.28790535447997 44.97022082302883, -93.28631869089807 44.97022082302883, -93.2847320273162 44.97022082302883, -93.28473202731618 44.97022082302883, -93.28314536373429 44.97022082302883, -93.2815587001524 44.97022082302883, -93.2815587001524 44.96909667257417, -93.2815587001524 44.96797252211952, -93.2815587001524 44.96797252211952, -93.2815587001524 44.96684837166487, -93.2815587001524 44.96572422121021, -93.28314536373429 44.96572422121021))"
6,"POLYGON ((-93.27997203657048 44.98146232757539, -93.28155870015239 44.98146232757539, -93.28155870015239 44.98258647803004, -93.28155870015239 44.9837106284847, -93.28155870015239 44.98483477893936, -93.28155870015239 44.98595892939402, -93.27997203657048 44.98595892939402, -93.27838537298859 44.98595892939402, -93.27838537298859 44.98483477893936, -93.27838537298859 44.9837106284847, -93.27838537298859 44.98258647803004, -93.27838537298859 44.98146232757539, -93.27997203657048 44.98146232757539))"
7,"POLYGON ((-93.28949201806188 44.95223441575434, -93.29107868164378 44.95223441575434, -93.29107868164378 44.953358566209, -93.29107868164378 44.95448271666365, -93.29266534522566 44.95448271666365, -93.29425200880756 44.95448271666365, -93.29425200880756 44.95560686711831, -93.29425200880756 44.95673101757296, -93.29266534522566 44.95673101757296, -93.29107868164378 44.95673101757296, -93.29107868164377 44.95673101757296, -93.28949201806188 44.95673101757296, -93.28790535447999 44.95673101757296, -93.28790535447999 44.95560686711831, -93.28790535447999 44.95448271666366, -93.28790535447999 44.95448271666365, -93.28790535447999 44.953358566209, -93.28790535447999 44.95223441575434, -93.28949201806188 44.95223441575434))"
8,"POLYGON ((-93.27997203657048 44.98820723030332, -93.28155870015239 44.98820723030332, -93.28155870015239 44.98933138075798, -93.28155870015239 44.99045553121263, -93.28155870015239 44.99045553121264, -93.28155870015239 44.99157968166729, -93.28155870015239 44.99270383212195, -93.27997203657048 44.99270383212195, -93.27838537298859 44.99270383212195, -93.27838537298859 44.99157968166729, -93.27838537298859 44.99045553121264, -93.27679870940671 44.99045553121264, -93.27521204582482 44.99045553121264, -93.27521204582482 44.98933138075798, -93.27521204582482 44.98820723030332, -93.27679870940671 44.98820723030332, -93.27838537298859 44.98820723030332, -93.27838537298861 44.98820723030332, -93.27997203657048 44.98820723030332))"
9,"POLYGON ((-93.28949201806188 44.94773781393572, -93.29107868164378 44.94773781393572, -93.29107868164378 44.94886196439037, -93.29107868164378 44.94998611484503, -93.29107868164378 44.94998611484503, -93.29107868164378 44.95111026529968, -93.29107868164378 44.95223441575434, -93.28949201806188 44.95223441575434, -93.28790535447999 44.95223441575434, -93.28790535447999 44.95111026529968, -93.28790535447999 44.94998611484503, -93.28790535447999 44.94998611484503, -93.28790535447999 44.94886196439037, -93.28790535447999 44.94773781393572, -93.28949201806188 44.94773781393572))"
