,0
0,POINT (-93.2931859430701 44.94947293862955)
1,POINT (-93.26385161293544 45.00090080886977)
2,POINT (-93.26751025399135 44.9814031327264)
3,POINT (-93.2764310291189 44.97680750329791)
4,POINT (-93.2518657705179 44.97706621090493)
5,POINT (-93.2524429586791 45.0126694802144)
6,POINT (-93.27857030477844 44.967717574329)
7,POINT (-93.274221960734 44.97839170573475)
8,POINT (-93.21215466028745 44.96453227934915)
9,POINT (-93.27745118052655 44.97608679813353)
10,POINT (-93.28209220397275 44.9609014741303)
11,POINT (-93.2590527446076 44.97718510232767)
12,POINT (-93.22668987136149 44.97750521959627)
13,POINT (-93.29829194692205 44.94747419666954)
14,POINT (-93.25492788638813 44.9897439127811)
15,POINT (-93.27727011000243 44.9791746837677)
16,POINT (-93.2696357146136 44.98168306053655)
17,POINT (-93.28104824264435 44.98566619168135)
18,POINT (-93.25031867067614 44.9755223029441)
19,POINT (-93.27316212425937 44.9799657874297)
20,POINT (-93.25309597656293 44.94291429604907)
21,POINT (-93.29703419386635 44.94881205682966)
22,POINT (-93.28008434592935 44.9687904528216)
23,POINT (-93.25710281282825 44.97841485181386)
24,POINT (-93.29105540204735 44.96301940499755)
25,POINT (-93.2620410796498 44.94835804965665)
26,POINT (-93.27781870088653 44.9618007669936)
27,POINT (-93.2972840842456 44.95374581153505)
28,POINT (-93.2367798089294 44.9815364070804)
29,POINT (-93.25407685354756 44.976508302344)
30,POINT (-93.28554265003493 44.95015545939292)
31,POINT (-93.24899569516539 44.9896129299256)
32,POINT (-93.26036887941635 44.96885522630135)
33,POINT (-93.25231949412856 44.9622767851688)
34,POINT (-93.2298515044036 44.9636299063828)
35,POINT (-93.23267205137955 44.9932817822863)
36,POINT (-93.25030406744305 44.97016844407259)
37,POINT (-93.2963792245821 44.94925538103255)
38,POINT (-93.25642611098195 44.9781301779381)
39,POINT (-93.29118091678855 45.01671324523885)
40,POINT (-93.28613954248225 44.95553669486565)
41,POINT (-93.29190972454909 44.94919901097315)
42,POINT (-93.2714643777289 44.98682311127517)
43,POINT (-93.25710027202236 44.98772987086335)
44,POINT (-93.27344159990145 44.97543317141283)
45,POINT (-93.28083930912145 44.9670601682831)
46,POINT (-93.2776008226688 44.98816665375195)
47,POINT (-93.25958291044975 44.9721717212492)
48,POINT (-93.3000869689603 44.96795352954609)
49,POINT (-93.2449045129169 44.95722129608681)
50,POINT (-93.26640768657535 44.95463653769779)
51,POINT (-93.26901291578915 44.98213657857805)
52,POINT (-93.27529838782266 44.9865049717246)
53,POINT (-93.25251839752379 44.97505069838834)
54,POINT (-93.27074877904249 44.9841306576024)
55,POINT (-93.236170769792 44.9800090499421)
56,POINT (-93.26475017922685 44.97371229332805)
57,POINT (-93.2968432680631 45.0104549236512)
58,POINT (-93.2510923397974 44.9618129092496)
59,POINT (-93.2718272919883 44.97738208072864)
