,0
0,"POLYGON ((-93.3291586076093 44.90726839756814, -93.31963862614218 44.90726839756814, -93.31963862614218 44.91401330029608, -93.3291586076093 44.91401330029608, -93.3291586076093 44.90726839756814))"
1,"POLYGON ((-93.3291586076093 44.92750310575197, -93.31963862614218 44.92750310575197, -93.31963862614218 44.93424800847992, -93.3291586076093 44.93424800847992, -93.3291586076093 44.92750310575197))"
2,"POLYGON ((-93.3291586076093 44.93424800847992, -93.31963862614218 44.93424800847992, -93.31963862614218 44.94099291120786, -93.3291586076093 44.94099291120786, -93.3291586076093 44.93424800847992))"
3,"POLYGON ((-93.3291586076093 44.94099291120786, -93.31963862614218 44.94099291120786, -93.31963862614218 44.94773781393581, -93.3291586076093 44.94773781393581, -93.3291586076093 44.94099291120786))"
4,"POLYGON ((-93.3291586076093 44.94773781393581, -93.31963862614218 44.94773781393581, -93.31963862614218 44.95448271666375, -93.3291586076093 44.95448271666375, -93.3291586076093 44.94773781393581))"
5,"POLYGON ((-93.31963862614218 44.92075820302403, -93.31011864467506 44.92075820302403, -93.31011864467506 44.92750310575197, -93.31963862614218 44.92750310575197, -93.31963862614218 44.92075820302403))"
6,"POLYGON ((-93.31963862614218 44.92750310575197, -93.31011864467506 44.92750310575197, -93.31011864467506 44.93424800847992, -93.31963862614218 44.93424800847992, -93.31963862614218 44.92750310575197))"
7,"POLYGON ((-93.31963862614218 44.93424800847992, -93.31011864467506 44.93424800847992, -93.31011864467506 44.94099291120786, -93.31963862614218 44.94099291120786, -93.31963862614218 44.93424800847992))"
8,"POLYGON ((-93.31963862614218 44.94773781393581, -93.31011864467506 44.94773781393581, -93.31011864467506 44.95448271666375, -93.31963862614218 44.95448271666375, -93.31963862614218 44.94773781393581))"
9,"POLYGON ((-93.31963862614218 44.9612276193917, -93.31011864467506 44.9612276193917, -93.31011864467506 44.96797252211964, -93.31963862614218 44.96797252211964, -93.31963862614218 44.9612276193917))"
10,"POLYGON ((-93.31963862614218 44.97471742484759, -93.31011864467506 44.97471742484759, -93.31011864467506 44.98146232757554, -93.31963862614218 44.98146232757554, -93.31963862614218 44.97471742484759))"
11,"POLYGON ((-93.31963862614218 44.98820723030348, -93.31011864467506 44.98820723030348, -93.31011864467506 44.99495213303143, -93.31963862614218 44.99495213303143, -93.31963862614218 44.98820723030348))"
