,0
0,"POLYGON ((-93.3291586076093 44.90951669847741, -93.32915860760932 44.90951669847741, -93.32915860760932 44.90951669847742, -93.32915860760932 44.91401330029605, -93.32915860760932 44.91401330029606, -93.3291586076093 44.91401330029606, -93.32598528044551 44.91401330029606, -93.32598528044549 44.91401330029606, -93.3228119532817 44.91401330029606, -93.32281195328169 44.91401330029606, -93.32281195328169 44.91401330029605, -93.32281195328169 44.90951669847742, -93.32281195328169 44.90951669847741, -93.3228119532817 44.90951669847741, -93.32598528044549 44.90951669847741, -93.32598528044551 44.90951669847741, -93.3291586076093 44.90951669847741))"
1,"POLYGON ((-93.3291586076093 44.9275031057519, -93.32915860760932 44.9275031057519, -93.32915860760932 44.92750310575191, -93.32915860760932 44.93199970757054, -93.32915860760932 44.93199970757055, -93.3291586076093 44.93199970757055, -93.32598528044551 44.93199970757055, -93.32598528044549 44.93199970757055, -93.3228119532817 44.93199970757055, -93.32281195328169 44.93199970757055, -93.32281195328169 44.93199970757054, -93.32281195328169 44.92750310575191, -93.32281195328169 44.9275031057519, -93.3228119532817 44.9275031057519, -93.32598528044549 44.9275031057519, -93.32598528044551 44.9275031057519, -93.3291586076093 44.9275031057519))"
2,"POLYGON ((-93.3291586076093 44.93649630938915, -93.32915860760932 44.93649630938915, -93.32915860760932 44.93649630938916, -93.32915860760932 44.94099291120779, -93.32915860760932 44.94099291120779, -93.3291586076093 44.94099291120779, -93.32598528044551 44.94099291120779, -93.32598528044549 44.94099291120779, -93.3228119532817 44.94099291120779, -93.32281195328169 44.94099291120779, -93.32281195328169 44.94099291120779, -93.32281195328169 44.93649630938916, -93.32281195328169 44.93649630938915, -93.3228119532817 44.93649630938915, -93.32598528044549 44.93649630938915, -93.32598528044551 44.93649630938915, -93.3291586076093 44.93649630938915))"
3,"POLYGON ((-93.3291586076093 44.94099291120777, -93.32915860760932 44.94099291120777, -93.32915860760932 44.94099291120778, -93.32915860760932 44.94548951302641, -93.32915860760932 44.94548951302642, -93.3291586076093 44.94548951302642, -93.32598528044551 44.94548951302642, -93.32598528044549 44.94548951302642, -93.3228119532817 44.94548951302642, -93.32281195328169 44.94548951302642, -93.32281195328169 44.94548951302641, -93.32281195328169 44.94099291120778, -93.32281195328169 44.94099291120777, -93.3228119532817 44.94099291120777, -93.32598528044549 44.94099291120777, -93.32598528044551 44.94099291120777, -93.3291586076093 44.94099291120777))"
4,"POLYGON ((-93.3291586076093 44.94548951302639, -93.32915860760932 44.94548951302639, -93.32915860760932 44.9454895130264, -93.32915860760932 44.94998611484503, -93.32915860760932 44.94998611484504, -93.3291586076093 44.94998611484504, -93.32598528044551 44.94998611484504, -93.32598528044549 44.94998611484504, -93.3228119532817 44.94998611484504, -93.32281195328169 44.94998611484504, -93.32281195328169 44.94998611484503, -93.32281195328169 44.9454895130264, -93.32281195328169 44.94548951302639, -93.3228119532817 44.94548951302639, -93.32598528044549 44.94548951302639, -93.32598528044551 44.94548951302639, -93.3291586076093 44.94548951302639))"
5,"POLYGON ((-93.32281195328171 44.93199970757053, -93.32281195328173 44.93199970757053, -93.32281195328173 44.93199970757053, -93.32281195328173 44.93649630938916, -93.32281195328173 44.93649630938917, -93.32281195328171 44.93649630938917, -93.31963862611792 44.93649630938917, -93.31963862611791 44.93649630938917, -93.31646529895411 44.93649630938917, -93.3164652989541 44.93649630938917, -93.3164652989541 44.93649630938916, -93.3164652989541 44.93199970757053, -93.3164652989541 44.93199970757053, -93.31646529895411 44.93199970757053, -93.31963862611791 44.93199970757053, -93.31963862611792 44.93199970757053, -93.32281195328171 44.93199970757053))"
6,"POLYGON ((-93.32281195328171 44.93649630938915, -93.32281195328173 44.93649630938915, -93.32281195328173 44.93649630938916, -93.32281195328173 44.94099291120779, -93.32281195328173 44.94099291120779, -93.32281195328171 44.94099291120779, -93.31963862611792 44.94099291120779, -93.31963862611791 44.94099291120779, -93.31646529895411 44.94099291120779, -93.3164652989541 44.94099291120779, -93.3164652989541 44.94099291120779, -93.3164652989541 44.93649630938916, -93.3164652989541 44.93649630938915, -93.31646529895411 44.93649630938915, -93.31963862611791 44.93649630938915, -93.31963862611792 44.93649630938915, -93.32281195328171 44.93649630938915))"
7,"POLYGON ((-93.32281195328171 44.94099291120777, -93.32281195328173 44.94099291120777, -93.32281195328173 44.94099291120778, -93.32281195328173 44.94548951302641, -93.32281195328173 44.94548951302642, -93.32281195328171 44.94548951302642, -93.31963862611792 44.94548951302642, -93.31963862611791 44.94548951302642, -93.31646529895411 44.94548951302642, -93.3164652989541 44.94548951302642, -93.3164652989541 44.94548951302641, -93.3164652989541 44.94099291120778, -93.3164652989541 44.94099291120777, -93.31646529895411 44.94099291120777, -93.31963862611791 44.94099291120777, -93.31963862611792 44.94099291120777, -93.32281195328171 44.94099291120777))"
8,"POLYGON ((-93.32281195328171 44.94548951302639, -93.32281195328173 44.94548951302639, -93.32281195328173 44.9454895130264, -93.32281195328173 44.94998611484503, -93.32281195328173 44.94998611484504, -93.32281195328171 44.94998611484504, -93.31963862611792 44.94998611484504, -93.31963862611791 44.94998611484504, -93.31646529895411 44.94998611484504, -93.3164652989541 44.94998611484504, -93.3164652989541 44.94998611484503, -93.3164652989541 44.9454895130264, -93.3164652989541 44.94548951302639, -93.31646529895411 44.94548951302639, -93.31963862611791 44.94548951302639, -93.31963862611792 44.94548951302639, -93.32281195328171 44.94548951302639))"
9,"POLYGON ((-93.32281195328171 44.94998611484502, -93.32281195328173 44.94998611484502, -93.32281195328173 44.94998611484503, -93.32281195328173 44.95448271666366, -93.32281195328173 44.95448271666366, -93.32281195328171 44.95448271666366, -93.31963862611792 44.95448271666366, -93.31963862611791 44.95448271666366, -93.31646529895411 44.95448271666366, -93.3164652989541 44.95448271666366, -93.3164652989541 44.95448271666366, -93.3164652989541 44.94998611484503, -93.3164652989541 44.94998611484502, -93.31646529895411 44.94998611484502, -93.31963862611791 44.94998611484502, -93.31963862611792 44.94998611484502, -93.32281195328171 44.94998611484502))"
