,0
0,"POLYGON ((-93.28155870015239 44.985958929394, -93.2815587001524 44.985958929394, -93.2815587001524 44.98595892939401, -93.2815587001524 44.99270383212195, -93.2815587001524 44.99270383212195, -93.28155870015239 44.99270383212195, -93.27838537298859 44.99270383212195, -93.27838537298858 44.99270383212195, -93.27838537298858 44.99270383212195, -93.27838537298858 44.99045553121265, -93.27521204582482 44.99045553121265, -93.27521204582482 44.99270383212195, -93.27521204582482 44.99270383212195, -93.2752120458248 44.99270383212195, -93.27203871866101 44.99270383212195, -93.27203871866099 44.99270383212195, -93.27203871866099 44.99270383212195, -93.27203871866099 44.99045553121265, -93.26886539149723 44.99045553121265, -93.26886539149722 44.99045553121265, -93.26886539149722 44.99045553121264, -93.26886539149722 44.98820723030332, -93.26886539149722 44.98820723030332, -93.26886539149723 44.98820723030332, -93.2752120458248 44.98820723030332, -93.27521204582482 44.98820723030332, -93.27838537298858 44.98820723030332, -93.27838537298858 44.98595892939401, -93.27838537298858 44.985958929394, -93.27838537298859 44.985958929394, -93.28155870015239 44.985958929394))"
1,"POLYGON ((-93.26886539149722 44.98146232757538, -93.26886539149723 44.98146232757538, -93.26886539149723 44.98146232757539, -93.26886539149723 44.98820723030332, -93.26886539149723 44.98820723030333, -93.26886539149722 44.98820723030333, -93.26569206433342 44.98820723030333, -93.26569206433341 44.98820723030333, -93.26569206433341 44.98820723030332, -93.26569206433341 44.98595892939402, -93.26251873716964 44.98595892939402, -93.26251873716963 44.98595892939402, -93.26251873716963 44.98595892939402, -93.26251873716963 44.98146232757539, -93.26251873716963 44.98146232757538, -93.26251873716964 44.98146232757538, -93.26886539149722 44.98146232757538))"
2,"POLYGON ((-93.28155870015239 44.97696572575676, -93.2815587001524 44.97696572575676, -93.2815587001524 44.97696572575676, -93.2815587001524 44.98146232757539, -93.2815587001524 44.9814623275754, -93.28155870015239 44.9814623275754, -93.27521204582482 44.9814623275754, -93.2752120458248 44.9814623275754, -93.2752120458248 44.98146232757539, -93.2752120458248 44.97921402666609, -93.27203871866101 44.97921402666609, -93.27203871866099 44.97921402666609, -93.27203871866099 44.97921402666608, -93.27203871866099 44.97696572575676, -93.27203871866099 44.97696572575676, -93.27203871866101 44.97696572575676, -93.2752120458248 44.97696572575676, -93.27521204582482 44.97696572575676, -93.28155870015239 44.97696572575676))"
3,"POLYGON ((-93.29107868164378 44.94324121211709, -93.2910786816438 44.94324121211709, -93.2910786816438 44.94324121211709, -93.2910786816438 44.94548951302639, -93.29425200880756 44.94548951302639, -93.29425200880758 44.94548951302639, -93.29425200880758 44.9454895130264, -93.29425200880758 44.94773781393572, -93.29425200880758 44.94773781393572, -93.29425200880756 44.94773781393572, -93.2910786816438 44.94773781393572, -93.2910786816438 44.95223441575434, -93.2910786816438 44.95223441575435, -93.29107868164378 44.95223441575435, -93.28790535447999 44.95223441575435, -93.28790535447997 44.95223441575435, -93.28790535447997 44.95223441575434, -93.28790535447997 44.94324121211709, -93.28790535447997 44.94324121211709, -93.28790535447999 44.94324121211709, -93.29107868164378 44.94324121211709))"
4,"POLYGON ((-93.27203871866102 44.97921402666607, -93.27203871866104 44.97921402666607, -93.27203871866104 44.97921402666608, -93.27203871866104 44.98146232757539, -93.27203871866104 44.9814623275754, -93.27203871866102 44.9814623275754, -93.26886539149723 44.9814623275754, -93.26886539149722 44.9814623275754, -93.26569206433342 44.9814623275754, -93.26569206433341 44.9814623275754, -93.26569206433341 44.98146232757539, -93.26569206433341 44.97696572575676, -93.26569206433341 44.97696572575676, -93.26569206433342 44.97696572575676, -93.26886539149722 44.97696572575676, -93.26886539149723 44.97696572575676, -93.26886539149723 44.97696572575676, -93.26886539149723 44.97921402666607, -93.27203871866102 44.97921402666607))"
5,"POLYGON ((-93.27838537298861 44.96122761939158, -93.27838537298862 44.96122761939158, -93.27838537298862 44.96122761939159, -93.27838537298862 44.96347592030089, -93.28155870015239 44.96347592030089, -93.2815587001524 44.96347592030089, -93.2815587001524 44.96347592030089, -93.2815587001524 44.96797252211952, -93.2815587001524 44.96797252211953, -93.28155870015239 44.96797252211953, -93.27838537298859 44.96797252211953, -93.27838537298858 44.96797252211953, -93.27838537298858 44.96797252211952, -93.27838537298858 44.96572422121022, -93.27521204582482 44.96572422121022, -93.2752120458248 44.96572422121022, -93.2752120458248 44.96572422121021, -93.2752120458248 44.96122761939159, -93.2752120458248 44.96122761939158, -93.27521204582482 44.96122761939158, -93.27838537298861 44.96122761939158))"
6,"POLYGON ((-93.24982542851446 44.97921402666607, -93.24982542851447 44.97921402666607, -93.24982542851447 44.97921402666608, -93.24982542851447 44.9837106284847, -93.24982542851447 44.98371062848471, -93.24982542851446 44.98371062848471, -93.24665210135069 44.98371062848471, -93.24665210135069 44.98595892939402, -93.24665210135069 44.98595892939402, -93.24665210135068 44.98595892939402, -93.24347877418688 44.98595892939402, -93.24347877418687 44.98595892939402, -93.24347877418687 44.98595892939402, -93.24347877418687 44.97921402666608, -93.24347877418687 44.97921402666607, -93.24347877418688 44.97921402666607, -93.24982542851446 44.97921402666607))"
7,"POLYGON ((-93.27838537298861 44.97022082302882, -93.27838537298862 44.97022082302882, -93.27838537298862 44.97022082302883, -93.27838537298862 44.97471742484746, -93.27838537298862 44.97471742484746, -93.27838537298861 44.97471742484746, -93.27521204582482 44.97471742484746, -93.2752120458248 44.97471742484746, -93.2752120458248 44.97471742484746, -93.2752120458248 44.97246912393815, -93.27203871866101 44.97246912393815, -93.27203871866099 44.97246912393815, -93.27203871866099 44.97246912393815, -93.27203871866099 44.97022082302883, -93.27203871866099 44.97022082302882, -93.27203871866101 44.97022082302882, -93.2752120458248 44.97022082302882, -93.27521204582482 44.97022082302882, -93.27838537298861 44.97022082302882))"
8,"POLYGON ((-93.26886539149722 44.97246912393813, -93.26886539149723 44.97246912393813, -93.26886539149723 44.97246912393814, -93.26886539149723 44.97696572575677, -93.26886539149723 44.97696572575678, -93.26886539149722 44.97696572575678, -93.26569206433342 44.97696572575678, -93.26569206433341 44.97696572575678, -93.26569206433341 44.97696572575677, -93.26569206433341 44.97471742484746, -93.26251873716964 44.97471742484746, -93.26251873716963 44.97471742484746, -93.26251873716963 44.97471742484746, -93.26251873716963 44.97246912393814, -93.26251873716963 44.97246912393813, -93.26251873716964 44.97246912393813, -93.26886539149722 44.97246912393813))"
9,"POLYGON ((-93.26886539149722 44.9657242212102, -93.26886539149723 44.9657242212102, -93.26886539149723 44.96572422121021, -93.26886539149723 44.97246912393815, -93.26886539149723 44.97246912393815, -93.26886539149722 44.97246912393815, -93.26251873716964 44.97246912393815, -93.26251873716963 44.97246912393815, -93.26251873716963 44.97246912393815, -93.26251873716963 44.96797252211952, -93.26251873716963 44.96797252211951, -93.26251873716964 44.96797252211951, -93.26569206433341 44.96797252211951, -93.26569206433341 44.96572422121021, -93.26569206433341 44.9657242212102, -93.26569206433342 44.9657242212102, -93.26886539149722 44.9657242212102))"
